46,"select TwoMASS.OBJID, t.w1mag, t.w2mag, t.w3mag, t.w4mag from WISE_allsky t, TwoMASS where t.tmass_key=TwoMASS.ptsKey and TwoMASS.OBJID=#"
2019-05-02 14:09:00,1
2019-05-02 14:25:00,1
2019-05-02 14:49:00,1
2019-05-02 14:50:00,4
2019-05-02 14:51:00,4
2019-05-02 14:52:00,1
2019-05-02 15:14:00,1
2019-05-02 15:23:00,1
2019-05-02 15:24:00,1
2019-05-02 15:27:00,1
2019-05-02 17:24:00,1
2019-05-02 17:27:00,1
2019-05-02 17:31:00,1
2019-05-02 17:32:00,1
2019-05-02 17:36:00,3
2019-05-02 17:37:00,4
2019-05-02 17:40:00,1
2019-05-02 17:41:00,3
2019-05-02 17:46:00,2
2019-05-02 17:50:00,4
2019-05-02 17:52:00,5
2019-05-02 17:54:00,4
