999,"select name, type from DBObjects where type=&&& and access=&&& and name NOT IN (&&&, &&&) order by name"
2019-05-06 00:15:00,3
2019-05-06 00:23:00,3
2019-05-06 00:26:00,3
2019-05-06 00:31:00,9
2019-05-06 00:53:00,3
2019-05-06 01:02:00,3
2019-05-06 01:05:00,9
2019-05-06 01:14:00,3
2019-05-06 01:22:00,3
2019-05-06 01:23:00,3
2019-05-06 01:43:00,3
2019-05-06 01:47:00,3
2019-05-06 02:05:00,6
2019-05-06 02:06:00,6
2019-05-06 02:07:00,12
2019-05-06 02:08:00,6
2019-05-06 02:09:00,21
2019-05-06 02:10:00,3
2019-05-06 02:11:00,12
2019-05-06 02:21:00,3
2019-05-06 02:27:00,3
2019-05-06 02:58:00,3
2019-05-06 03:14:00,2
2019-05-06 03:36:00,3
2019-05-06 03:40:00,3
2019-05-06 03:56:00,3
2019-05-06 04:01:00,3
2019-05-06 04:06:00,3
2019-05-06 04:07:00,3
2019-05-06 04:23:00,3
2019-05-06 04:24:00,3
2019-05-06 05:05:00,6
2019-05-06 05:06:00,9
2019-05-06 05:09:00,3
2019-05-06 05:17:00,3
2019-05-06 05:45:00,3
2019-05-06 06:09:00,3
2019-05-06 06:17:00,1
2019-05-06 06:21:00,3
2019-05-06 06:30:00,3
2019-05-06 06:52:00,3
2019-05-06 06:57:00,3
2019-05-06 07:05:00,3
2019-05-06 07:08:00,2
2019-05-06 07:14:00,3
2019-05-06 07:19:00,3
2019-05-06 07:31:00,3
2019-05-06 07:38:00,3
2019-05-06 07:45:00,3
2019-05-06 07:59:00,15
2019-05-06 08:00:00,15
2019-05-06 08:01:00,18
2019-05-06 08:02:00,12
2019-05-06 08:05:00,6
2019-05-06 08:06:00,3
2019-05-06 08:07:00,2
2019-05-06 08:08:00,1
2019-05-06 08:14:00,3
2019-05-06 08:15:00,3
2019-05-06 08:18:00,3
2019-05-06 08:22:00,3
2019-05-06 08:39:00,3
2019-05-06 08:41:00,3
2019-05-06 08:43:00,3
2019-05-06 08:44:00,1
2019-05-06 08:45:00,8
2019-05-06 08:46:00,3
2019-05-06 08:47:00,9
2019-05-06 08:48:00,3
2019-05-06 08:49:00,9
2019-05-06 08:50:00,3
2019-05-06 08:51:00,3
2019-05-06 08:52:00,9
2019-05-06 08:53:00,18
2019-05-06 08:54:00,15
2019-05-06 08:55:00,15
2019-05-06 08:56:00,3
2019-05-06 08:57:00,9
2019-05-06 08:58:00,3
2019-05-06 09:03:00,3
2019-05-06 09:05:00,1
2019-05-06 09:06:00,3
2019-05-06 09:10:00,1
2019-05-06 09:11:00,2
2019-05-06 09:24:00,3
2019-05-06 09:28:00,6
2019-05-06 09:37:00,3
2019-05-06 09:59:00,3
2019-05-06 10:00:00,3
2019-05-06 10:10:00,3
2019-05-06 10:12:00,3
2019-05-06 10:13:00,6
2019-05-06 10:16:00,3
2019-05-06 10:40:00,3
2019-05-06 10:42:00,3
2019-05-06 10:45:00,3
2019-05-06 11:01:00,3
2019-05-06 11:10:00,6
2019-05-06 11:12:00,3
2019-05-06 11:23:00,3
2019-05-06 11:24:00,3
2019-05-06 11:38:00,3
2019-05-06 11:44:00,3
2019-05-06 11:52:00,3
2019-05-06 11:53:00,3
2019-05-06 11:55:00,3
2019-05-06 12:02:00,3
2019-05-06 12:19:00,3
2019-05-06 12:30:00,3
2019-05-06 12:31:00,3
2019-05-06 12:32:00,3
2019-05-06 12:33:00,3
2019-05-06 12:39:00,2
2019-05-06 12:57:00,3
2019-05-06 12:58:00,3
2019-05-06 13:03:00,3
2019-05-06 13:05:00,6
2019-05-06 13:14:00,3
2019-05-06 13:29:00,3
2019-05-06 13:31:00,3
2019-05-06 13:39:00,3
2019-05-06 13:42:00,3
2019-05-06 13:43:00,3
2019-05-06 13:47:00,3
2019-05-06 14:01:00,2
2019-05-06 14:20:00,3
2019-05-06 14:31:00,3
2019-05-06 14:44:00,3
2019-05-06 14:47:00,3
2019-05-06 14:48:00,12
2019-05-06 14:49:00,12
2019-05-06 14:50:00,9
2019-05-06 14:51:00,12
2019-05-06 14:52:00,6
2019-05-06 14:53:00,3
2019-05-06 14:54:00,6
2019-05-06 14:59:00,6
2019-05-06 15:17:00,3
2019-05-06 15:22:00,6
2019-05-06 15:23:00,6
2019-05-06 15:27:00,6
2019-05-06 15:30:00,3
2019-05-06 15:34:00,3
2019-05-06 15:36:00,3
2019-05-06 15:37:00,3
2019-05-06 15:39:00,9
2019-05-06 15:41:00,3
2019-05-06 15:42:00,9
2019-05-06 15:52:00,3
2019-05-06 15:53:00,6
2019-05-06 15:56:00,3
2019-05-06 16:13:00,3
2019-05-06 16:18:00,3
2019-05-06 16:26:00,3
2019-05-06 16:27:00,5
2019-05-06 16:29:00,3
2019-05-06 16:39:00,3
2019-05-06 16:40:00,3
2019-05-06 16:53:00,3
