61,"SELECT aa_r,kk_r,airmass_r,gain_r,sky_r,skysig_r FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-05-08 10:22:00,1
2019-05-08 10:23:00,4
2019-05-08 10:24:00,4
2019-05-08 10:25:00,4
2019-05-08 10:26:00,4
2019-05-08 10:27:00,4
2019-05-08 10:28:00,4
2019-05-08 10:29:00,3
2019-05-08 10:30:00,4
2019-05-08 10:31:00,5
2019-05-08 10:32:00,3
2019-05-08 10:33:00,4
2019-05-08 10:34:00,3
2019-05-08 10:35:00,3
2019-05-08 10:42:00,1
2019-05-08 10:43:00,1
2019-05-08 10:46:00,1
2019-05-08 10:48:00,1
2019-05-08 12:12:00,1
2019-05-08 12:16:00,2
2019-05-08 12:19:00,1
2019-05-08 12:28:00,1
2019-05-08 12:29:00,2
