77,select distinct parent from DBViewCols where viewname=&&&
2019-05-09 01:13:00,1
2019-05-09 06:46:00,1
2019-05-09 08:21:00,3
2019-05-09 08:22:00,2
2019-05-09 11:21:00,1
2019-05-09 11:26:00,1
2019-05-09 11:28:00,1
2019-05-09 11:36:00,1
2019-05-09 11:54:00,1
2019-05-09 11:57:00,3
2019-05-09 11:58:00,8
2019-05-09 11:59:00,11
2019-05-09 12:00:00,7
2019-05-09 12:01:00,1
2019-05-09 12:12:00,1
2019-05-09 12:28:00,1
2019-05-09 12:29:00,1
2019-05-09 12:41:00,2
2019-05-09 12:43:00,2
2019-05-09 12:52:00,3
2019-05-09 12:54:00,1
2019-05-09 12:55:00,1
2019-05-09 12:57:00,1
2019-05-09 12:59:00,2
2019-05-09 13:14:00,1
2019-05-09 13:22:00,1
2019-05-09 13:23:00,1
2019-05-09 14:09:00,2
2019-05-09 14:20:00,1
2019-05-09 17:03:00,1
2019-05-09 17:08:00,1
2019-05-09 19:03:00,1
2019-05-09 19:15:00,1
2019-05-09 19:19:00,6
2019-05-09 20:24:00,1
2019-05-09 20:47:00,2
2019-05-09 22:20:00,1
