21,"SELECT p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type FROM PhotoPrimary AS p WHERE (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&) ) AND p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-05-10 07:47:00,1
2019-05-10 07:48:00,1
2019-05-10 07:49:00,2
2019-05-10 07:53:00,1
2019-05-10 07:54:00,1
2019-05-10 07:55:00,1
2019-05-10 07:56:00,1
2019-05-10 07:57:00,1
2019-05-10 07:58:00,1
2019-05-10 07:59:00,1
2019-05-10 08:00:00,1
2019-05-10 08:02:00,1
2019-05-10 08:03:00,1
2019-05-10 08:05:00,1
2019-05-10 08:06:00,1
2019-05-10 08:13:00,2
2019-05-10 08:14:00,1
2019-05-10 08:15:00,1
2019-05-10 08:16:00,1
