4444,"SELECT p.ra, p.dec, p.modelFlux_u, p.modelFlux_g, p.modelFlux_r, p.modelFlux_i, p.modelFlux_z, p.modelFluxIvar_u, p.modelFluxIvar_g, p.modelFluxIvar_r, p.modelFluxIvar_i, p.modelFluxIvar_z, d.w1flux, d.w2flux, d.w3flux, d.w4flux, d.w1sigflux, d.w2sigflux, d.w3sigflux, d.w4sigflux FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID=c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr=d.cntr"
2019-05-13 12:30:00,3
2019-05-13 12:32:00,3
2019-05-13 12:33:00,1
2019-05-13 12:36:00,4
2019-05-13 12:37:00,7
2019-05-13 12:38:00,3
2019-05-13 12:39:00,3
2019-05-13 12:40:00,6
2019-05-13 12:41:00,8
2019-05-13 12:42:00,8
2019-05-13 12:43:00,6
2019-05-13 12:44:00,5
2019-05-13 12:45:00,6
2019-05-13 12:46:00,5
2019-05-13 12:47:00,7
2019-05-13 12:48:00,6
2019-05-13 12:49:00,4
2019-05-13 12:50:00,4
2019-05-13 12:51:00,6
2019-05-13 12:52:00,4
2019-05-13 12:53:00,8
2019-05-13 12:54:00,6
2019-05-13 12:55:00,6
2019-05-13 12:56:00,2
2019-05-13 12:57:00,7
2019-05-13 12:58:00,9
2019-05-13 12:59:00,6
2019-05-13 13:00:00,6
2019-05-13 13:01:00,7
2019-05-13 13:02:00,9
2019-05-13 13:03:00,5
2019-05-13 13:04:00,8
2019-05-13 13:05:00,5
2019-05-13 13:06:00,8
2019-05-13 13:07:00,4
2019-05-13 13:08:00,7
2019-05-13 13:09:00,4
2019-05-13 13:10:00,11
2019-05-13 13:11:00,6
2019-05-13 13:12:00,9
2019-05-13 13:13:00,6
2019-05-13 13:14:00,7
2019-05-13 13:15:00,9
2019-05-13 13:16:00,6
2019-05-13 13:17:00,9
2019-05-13 13:18:00,7
2019-05-13 13:19:00,3
2019-05-13 13:20:00,7
2019-05-13 13:21:00,5
2019-05-13 13:22:00,8
2019-05-13 13:23:00,5
2019-05-13 13:24:00,9
2019-05-13 13:25:00,9
2019-05-13 13:26:00,3
2019-05-13 13:27:00,8
2019-05-13 13:28:00,6
2019-05-13 13:29:00,8
2019-05-13 13:30:00,8
2019-05-13 13:31:00,8
2019-05-13 13:32:00,8
2019-05-13 13:33:00,9
2019-05-13 13:34:00,7
2019-05-13 13:35:00,8
2019-05-13 13:36:00,7
2019-05-13 13:37:00,5
2019-05-13 13:38:00,8
2019-05-13 13:39:00,10
2019-05-13 13:40:00,10
2019-05-13 13:41:00,12
2019-05-13 13:42:00,9
2019-05-13 13:43:00,10
2019-05-13 13:44:00,11
2019-05-13 13:45:00,9
2019-05-13 13:46:00,11
2019-05-13 13:47:00,11
2019-05-13 13:48:00,8
2019-05-13 13:49:00,6
2019-05-13 13:50:00,7
2019-05-13 13:51:00,6
2019-05-13 13:52:00,9
2019-05-13 13:53:00,9
2019-05-13 13:54:00,11
2019-05-13 13:55:00,12
2019-05-13 13:56:00,5
2019-05-13 13:57:00,9
2019-05-13 13:58:00,8
2019-05-13 13:59:00,9
2019-05-13 14:00:00,10
2019-05-13 14:01:00,7
2019-05-13 14:02:00,10
2019-05-13 14:03:00,7
2019-05-13 14:04:00,9
2019-05-13 14:05:00,8
2019-05-13 14:06:00,5
2019-05-13 14:07:00,11
2019-05-13 14:08:00,9
2019-05-13 14:09:00,10
2019-05-13 14:10:00,9
2019-05-13 14:11:00,7
2019-05-13 14:12:00,7
2019-05-13 14:13:00,10
2019-05-13 14:14:00,10
2019-05-13 14:15:00,10
2019-05-13 14:16:00,6
2019-05-13 14:17:00,13
2019-05-13 14:18:00,11
