183,"select ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroR5#_r,probPSF,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z, p.objid from (PhotoTag p inner join fGetObjFromRectEq(#,#,#,#) r on p.objid=r.objid)"
2019-05-15 00:25:00,2
2019-05-15 00:31:00,1
2019-05-15 00:32:00,1
2019-05-15 00:33:00,1
2019-05-15 00:43:00,2
2019-05-15 00:44:00,1
2019-05-15 00:45:00,1
2019-05-15 01:07:00,1
2019-05-15 01:10:00,1
2019-05-15 01:36:00,2
2019-05-15 02:26:00,1
2019-05-15 02:28:00,1
2019-05-15 03:10:00,1
2019-05-15 03:15:00,1
2019-05-15 03:21:00,2
2019-05-15 03:25:00,1
2019-05-15 03:36:00,1
2019-05-15 03:44:00,2
2019-05-15 03:47:00,1
2019-05-15 03:51:00,1
2019-05-15 03:53:00,1
2019-05-15 03:56:00,2
2019-05-15 03:59:00,1
2019-05-15 04:00:00,1
2019-05-15 04:02:00,1
2019-05-15 04:05:00,1
2019-05-15 04:07:00,1
2019-05-15 04:08:00,1
2019-05-15 04:14:00,1
2019-05-15 04:21:00,1
2019-05-15 04:24:00,1
2019-05-15 04:27:00,2
2019-05-15 04:28:00,1
2019-05-15 04:33:00,1
2019-05-15 04:34:00,1
2019-05-15 04:35:00,1
2019-05-15 04:36:00,2
2019-05-15 04:42:00,1
2019-05-15 04:44:00,1
2019-05-15 04:45:00,1
2019-05-15 04:46:00,1
2019-05-15 04:50:00,1
2019-05-15 05:06:00,1
2019-05-15 05:09:00,1
2019-05-15 05:36:00,1
2019-05-15 05:45:00,2
2019-05-15 05:46:00,1
2019-05-15 06:01:00,1
2019-05-15 06:06:00,1
2019-05-15 06:07:00,1
2019-05-15 06:10:00,1
2019-05-15 06:12:00,1
2019-05-15 06:18:00,1
2019-05-15 06:19:00,1
2019-05-15 06:36:00,1
2019-05-15 06:50:00,1
2019-05-15 06:51:00,2
2019-05-15 06:53:00,2
2019-05-15 06:55:00,1
2019-05-15 07:02:00,1
2019-05-15 07:05:00,1
2019-05-15 07:06:00,1
2019-05-15 07:08:00,1
2019-05-15 07:09:00,1
2019-05-15 07:16:00,1
2019-05-15 07:18:00,2
2019-05-15 07:22:00,1
2019-05-15 07:28:00,1
2019-05-15 07:30:00,1
2019-05-15 07:50:00,2
2019-05-15 07:51:00,2
2019-05-15 07:53:00,9
2019-05-15 07:57:00,10
2019-05-15 08:35:00,2
2019-05-15 08:36:00,2
2019-05-15 08:41:00,1
2019-05-15 09:09:00,1
2019-05-15 09:29:00,1
2019-05-15 09:42:00,1
2019-05-15 09:43:00,1
2019-05-15 09:53:00,1
2019-05-15 10:37:00,4
2019-05-15 10:38:00,4
2019-05-15 10:39:00,4
2019-05-15 10:40:00,4
2019-05-15 10:41:00,4
2019-05-15 10:51:00,2
2019-05-15 10:52:00,2
2019-05-15 11:22:00,1
2019-05-15 12:36:00,4
2019-05-15 12:37:00,3
2019-05-15 12:38:00,4
2019-05-15 12:39:00,1
2019-05-15 13:18:00,1
2019-05-15 15:43:00,5
2019-05-15 15:44:00,11
2019-05-15 15:45:00,11
2019-05-15 16:27:00,1
2019-05-15 17:25:00,1
2019-05-15 18:13:00,1
2019-05-15 18:14:00,1
