400,"SELECT up_id, dbo.fGetNearestObjIdEq(up_ra,up_dec,#) as objId   FROM #upload WHERE dbo.fGetNearestObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-05-22 03:17:00,71
2019-05-22 03:18:00,13
2019-05-22 07:29:00,1
2019-05-22 07:30:00,1
2019-05-22 07:32:00,1
2019-05-22 07:48:00,2
2019-05-22 07:53:00,2
2019-05-22 07:54:00,1
2019-05-22 09:09:00,3
2019-05-22 09:10:00,16
2019-05-22 09:11:00,17
2019-05-22 09:12:00,11
2019-05-22 09:55:00,3
2019-05-22 09:56:00,12
2019-05-22 09:57:00,14
2019-05-22 09:58:00,4
2019-05-22 10:00:00,3
2019-05-22 10:01:00,14
2019-05-22 10:02:00,12
2019-05-22 10:03:00,16
2019-05-22 10:04:00,16
2019-05-22 10:05:00,13
2019-05-22 10:22:00,1
2019-05-22 10:59:00,11
2019-05-22 11:00:00,16
2019-05-22 11:01:00,10
2019-05-22 11:02:00,12
2019-05-22 11:03:00,12
2019-05-22 11:04:00,18
2019-05-22 11:05:00,12
2019-05-22 11:06:00,14
2019-05-22 11:07:00,14
2019-05-22 11:08:00,16
2019-05-22 11:09:00,13
2019-05-22 11:10:00,3
2019-05-22 11:59:00,1
2019-05-22 15:26:00,1
