1050,"select p.ra, p.dec, p.type,p.insidemask,p.flags_g,p.flags_i,p.flags_r,p.cModelMag_u, p.cModelMagErr_u,p.cModelMag_g, p.cModelMagErr_g,p.cModelMag_r, p.cModelMagErr_r,p.cModelMag_i, p.cModelMagErr_i,p.cModelMag_z, p.cModelMagErr_z from Galaxy p join dbo.fGetNearbyObjEq(#,#,#) r on p.ObjID = r.ObjID"
2019-05-26 02:49:00,2
2019-05-26 02:50:00,3
2019-05-26 02:51:00,1
2019-05-26 02:52:00,2
2019-05-26 02:53:00,1
2019-05-26 02:55:00,1
2019-05-26 02:56:00,2
2019-05-26 02:59:00,11
2019-05-26 03:00:00,67
2019-05-26 03:01:00,53
2019-05-26 03:02:00,32
2019-05-26 03:04:00,11
2019-05-26 03:05:00,41
2019-05-26 03:06:00,45
2019-05-26 03:07:00,66
2019-05-26 03:08:00,74
2019-05-26 03:09:00,54
2019-05-26 03:10:00,43
2019-05-26 03:11:00,22
2019-05-26 20:53:00,36
2019-05-26 20:54:00,99
2019-05-26 20:55:00,75
2019-05-26 20:56:00,103
2019-05-26 20:57:00,125
2019-05-26 20:58:00,81
