14,"SELECT TOP #  s.specobjid, s.class, s.z as redshift,  s.ra, s.dec,   s.plate, s.mjd, s.fiberid FROM SpecObjAll AS s WHERE  s.instrument = &&& AND  # >= CAST(CHECKSUM(NEWID(), htmid) & # AS float) / CAST (# AS int)"
2019-05-28 02:01:00,1
2019-05-28 02:02:00,1
2019-05-28 02:04:00,1
2019-05-28 02:05:00,1
2019-05-28 02:06:00,2
2019-05-28 02:07:00,1
2019-05-28 02:08:00,1
2019-05-28 02:15:00,2
2019-05-28 02:22:00,1
2019-05-28 02:30:00,1
2019-05-28 02:40:00,1
2019-05-28 02:48:00,1
