125,"SELECT p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN(p.type) as type, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid   FROM PhotoObj as p   JOIN SpecObj as s ON s.bestobjid = p.objid  WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND ((p.g BETWEEN # AND #) OR (p.r BETWEEN # AND #)) AND (s.class= &&&)"
2019-06-04 22:06:00,1
2019-06-04 22:18:00,3
2019-06-04 22:21:00,4
2019-06-04 22:28:00,1
2019-06-04 22:29:00,4
2019-06-04 22:31:00,5
2019-06-04 22:32:00,9
2019-06-04 22:33:00,8
2019-06-04 22:34:00,9
2019-06-04 22:35:00,9
2019-06-04 22:36:00,9
2019-06-04 22:37:00,8
2019-06-04 22:38:00,9
2019-06-04 22:39:00,9
2019-06-04 22:40:00,9
2019-06-04 22:41:00,9
2019-06-04 22:42:00,9
2019-06-04 22:43:00,8
2019-06-04 22:44:00,2
