786,"select s.ObjID,s.class,s.subclass,s.z,s.zErr,s.type from SpecPhoto s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-06-05 00:07:00,1
2019-06-05 00:08:00,1
2019-06-05 00:16:00,1
2019-06-05 00:17:00,1
2019-06-05 00:23:00,2
2019-06-05 00:29:00,1
2019-06-05 00:30:00,1
2019-06-05 00:33:00,1
2019-06-05 00:34:00,1
2019-06-05 00:37:00,1
2019-06-05 00:40:00,1
2019-06-05 00:42:00,1
2019-06-05 00:44:00,1
2019-06-05 00:53:00,1
2019-06-05 00:54:00,1
2019-06-05 01:03:00,1
2019-06-05 01:10:00,1
2019-06-05 01:17:00,1
2019-06-05 01:23:00,1
2019-06-05 01:29:00,1
2019-06-05 01:34:00,1
2019-06-05 01:35:00,1
2019-06-05 01:40:00,1
2019-06-05 01:42:00,1
2019-06-05 01:46:00,1
2019-06-05 01:50:00,1
2019-06-05 01:54:00,2
2019-06-05 01:59:00,2
2019-06-05 02:03:00,1
2019-06-05 02:04:00,1
2019-06-05 02:08:00,2
2019-06-05 02:14:00,1
2019-06-05 02:19:00,2
2019-06-05 02:26:00,1
2019-06-05 02:27:00,1
2019-06-05 02:33:00,2
2019-06-05 02:39:00,1
2019-06-05 02:40:00,1
2019-06-05 02:45:00,1
2019-06-05 02:46:00,1
2019-06-05 02:51:00,2
2019-06-05 02:59:00,2
2019-06-05 03:04:00,2
2019-06-05 03:09:00,1
2019-06-05 03:12:00,1
2019-06-05 03:15:00,1
2019-06-05 03:17:00,1
2019-06-05 03:19:00,1
2019-06-05 03:21:00,1
2019-06-05 03:22:00,1
2019-06-05 03:25:00,1
2019-06-05 03:27:00,1
2019-06-05 03:29:00,1
2019-06-05 03:32:00,1
2019-06-05 03:34:00,1
2019-06-05 03:38:00,1
2019-06-05 03:42:00,1
2019-06-05 03:54:00,1
2019-06-05 03:58:00,1
2019-06-05 04:07:00,1
2019-06-05 04:13:00,1
2019-06-05 04:14:00,1
2019-06-05 04:18:00,1
2019-06-05 04:20:00,2
2019-06-05 04:23:00,1
