70352,"SELECT type FROM dbo.fGetNearestObjAllEq(#,#,#)"
2019-06-07 16:16:00,1366
2019-06-07 16:17:00,1757
2019-06-07 16:18:00,1691
2019-06-07 16:19:00,1713
2019-06-07 16:20:00,1717
2019-06-07 16:21:00,1913
2019-06-07 16:22:00,1750
2019-06-07 16:23:00,1934
2019-06-07 16:24:00,1953
2019-06-07 16:25:00,2035
2019-06-07 16:26:00,1891
2019-06-07 16:27:00,1954
2019-06-07 16:28:00,2012
2019-06-07 16:29:00,2087
2019-06-07 16:30:00,2227
2019-06-07 16:31:00,1883
2019-06-07 16:32:00,1974
2019-06-07 16:33:00,2088
2019-06-07 16:34:00,2266
2019-06-07 16:35:00,2063
2019-06-07 16:36:00,1961
2019-06-07 16:37:00,2175
2019-06-07 16:38:00,2013
2019-06-07 16:39:00,2105
2019-06-07 16:40:00,2059
2019-06-07 16:41:00,2036
2019-06-07 16:42:00,1989
2019-06-07 16:43:00,2167
2019-06-07 16:44:00,1996
2019-06-07 16:45:00,2026
2019-06-07 16:46:00,2138
2019-06-07 16:47:00,1940
2019-06-07 16:48:00,1908
2019-06-07 16:49:00,2054
2019-06-07 16:50:00,2025
2019-06-07 16:51:00,1486
