1286,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&, cropPath = &&&                         WHERE Path = &&&"
2019-06-13 13:53:00,24
2019-06-13 13:54:00,31
2019-06-13 13:55:00,29
2019-06-13 13:56:00,29
2019-06-13 13:57:00,29
2019-06-13 13:58:00,30
2019-06-13 13:59:00,29
2019-06-13 14:00:00,28
2019-06-13 14:01:00,29
2019-06-13 14:02:00,30
2019-06-13 14:03:00,29
2019-06-13 14:04:00,30
2019-06-13 14:05:00,30
2019-06-13 14:06:00,29
2019-06-13 14:07:00,30
2019-06-13 14:08:00,30
2019-06-13 14:09:00,29
2019-06-13 14:10:00,30
2019-06-13 14:11:00,30
2019-06-13 14:12:00,30
2019-06-13 14:13:00,30
2019-06-13 14:14:00,30
2019-06-13 14:15:00,30
2019-06-13 14:16:00,29
2019-06-13 14:17:00,28
2019-06-13 14:18:00,30
2019-06-13 14:19:00,30
2019-06-13 14:20:00,30
2019-06-13 14:21:00,30
2019-06-13 14:22:00,27
2019-06-13 14:23:00,28
2019-06-13 14:24:00,28
2019-06-13 14:25:00,28
2019-06-13 14:26:00,20
2019-06-13 14:27:00,30
2019-06-13 14:28:00,30
2019-06-13 14:29:00,30
2019-06-13 14:30:00,30
2019-06-13 14:31:00,29
2019-06-13 14:32:00,30
2019-06-13 14:33:00,29
2019-06-13 14:34:00,30
2019-06-13 14:35:00,30
2019-06-13 14:36:00,30
2019-06-13 14:37:00,5
