540,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-06-14 16:12:00,4
2019-06-14 16:13:00,5
2019-06-14 16:14:00,4
2019-06-14 16:15:00,4
2019-06-14 16:16:00,4
2019-06-14 16:17:00,5
2019-06-14 16:18:00,4
2019-06-14 16:19:00,5
2019-06-14 16:20:00,5
2019-06-14 16:21:00,3
2019-06-14 16:22:00,2
2019-06-14 16:23:00,5
2019-06-14 16:24:00,4
2019-06-14 16:25:00,5
2019-06-14 16:26:00,1
2019-06-14 16:27:00,4
2019-06-14 16:28:00,5
2019-06-14 16:29:00,2
2019-06-14 16:30:00,3
2019-06-14 16:31:00,4
2019-06-14 16:32:00,3
2019-06-14 16:33:00,1
2019-06-14 16:34:00,4
2019-06-14 16:35:00,3
2019-06-14 16:36:00,4
2019-06-14 16:37:00,3
2019-06-14 16:38:00,3
2019-06-14 16:39:00,4
2019-06-14 16:40:00,3
2019-06-14 16:41:00,4
2019-06-14 16:42:00,4
2019-06-14 16:43:00,3
2019-06-14 16:44:00,2
2019-06-14 16:45:00,3
2019-06-14 16:46:00,2
2019-06-14 16:47:00,4
2019-06-14 17:03:00,3
2019-06-14 17:04:00,4
2019-06-14 17:05:00,4
2019-06-14 17:06:00,5
2019-06-14 17:07:00,5
2019-06-14 17:08:00,3
2019-06-14 17:09:00,5
2019-06-14 17:10:00,4
2019-06-14 17:11:00,5
2019-06-14 17:12:00,5
2019-06-14 17:13:00,4
2019-06-14 17:14:00,4
2019-06-14 17:15:00,5
2019-06-14 17:16:00,5
2019-06-14 17:17:00,4
2019-06-14 17:18:00,4
2019-06-14 17:19:00,5
2019-06-14 17:20:00,4
2019-06-14 17:21:00,4
2019-06-14 17:22:00,5
2019-06-14 17:23:00,4
2019-06-14 17:24:00,5
2019-06-14 17:25:00,5
2019-06-14 17:26:00,4
2019-06-14 17:27:00,4
2019-06-14 17:28:00,4
2019-06-14 17:29:00,3
2019-06-14 17:30:00,4
2019-06-14 17:31:00,4
2019-06-14 17:32:00,4
2019-06-14 17:33:00,3
2019-06-14 17:34:00,4
2019-06-14 17:35:00,4
2019-06-14 17:36:00,4
2019-06-14 17:37:00,5
2019-06-14 17:38:00,4
2019-06-14 17:39:00,4
2019-06-14 17:40:00,5
2019-06-14 17:41:00,5
2019-06-14 17:42:00,4
2019-06-14 17:43:00,4
2019-06-14 17:44:00,4
2019-06-14 17:45:00,4
2019-06-14 17:46:00,4
2019-06-14 17:47:00,5
2019-06-14 17:48:00,3
2019-06-14 17:49:00,3
2019-06-14 17:50:00,2
2019-06-14 17:51:00,4
2019-06-14 17:52:00,5
2019-06-14 17:53:00,4
2019-06-14 17:54:00,4
2019-06-14 17:55:00,4
2019-06-14 17:56:00,5
2019-06-14 17:57:00,5
2019-06-14 17:58:00,5
2019-06-14 17:59:00,4
2019-06-14 18:00:00,4
2019-06-14 18:01:00,5
2019-06-14 18:02:00,4
2019-06-14 18:03:00,5
2019-06-14 18:04:00,2
2019-06-14 18:05:00,3
2019-06-14 18:06:00,4
2019-06-14 18:07:00,4
2019-06-14 18:08:00,4
2019-06-14 18:09:00,5
2019-06-14 18:10:00,5
2019-06-14 18:11:00,4
2019-06-14 18:12:00,4
2019-06-14 18:13:00,5
2019-06-14 18:14:00,6
2019-06-14 18:15:00,6
2019-06-14 18:16:00,3
2019-06-14 18:17:00,3
2019-06-14 18:18:00,5
2019-06-14 18:19:00,5
2019-06-14 18:20:00,5
2019-06-14 18:21:00,6
2019-06-14 18:22:00,6
2019-06-14 18:23:00,4
2019-06-14 18:24:00,3
2019-06-14 18:25:00,5
2019-06-14 18:26:00,6
2019-06-14 18:27:00,5
2019-06-14 18:28:00,7
2019-06-14 18:29:00,5
2019-06-14 18:30:00,7
2019-06-14 18:31:00,6
2019-06-14 18:32:00,6
2019-06-14 18:33:00,6
2019-06-14 18:34:00,6
2019-06-14 18:35:00,4
