351,select * from PhotoObjAll where objId=#
2019-06-14 00:00:00,1
2019-06-14 00:01:00,1
2019-06-14 00:06:00,1
2019-06-14 00:07:00,1
2019-06-14 00:12:00,1
2019-06-14 00:13:00,2
2019-06-14 00:29:00,1
2019-06-14 00:33:00,1
2019-06-14 00:35:00,1
2019-06-14 00:39:00,1
2019-06-14 00:46:00,1
2019-06-14 00:47:00,1
2019-06-14 00:49:00,1
2019-06-14 00:53:00,1
2019-06-14 00:55:00,1
2019-06-14 01:04:00,1
2019-06-14 01:05:00,2
2019-06-14 01:07:00,1
2019-06-14 01:10:00,1
2019-06-14 01:16:00,1
2019-06-14 01:17:00,1
2019-06-14 01:18:00,1
2019-06-14 01:20:00,1
2019-06-14 01:22:00,1
2019-06-14 01:25:00,1
2019-06-14 01:26:00,1
2019-06-14 01:27:00,1
2019-06-14 01:29:00,1
2019-06-14 01:31:00,2
2019-06-14 01:32:00,1
2019-06-14 01:34:00,1
2019-06-14 01:35:00,2
2019-06-14 01:38:00,1
2019-06-14 01:42:00,1
2019-06-14 01:50:00,1
2019-06-14 01:52:00,1
2019-06-14 01:53:00,1
2019-06-14 01:55:00,1
2019-06-14 01:56:00,1
2019-06-14 02:06:00,1
2019-06-14 02:11:00,2
2019-06-14 02:13:00,1
2019-06-14 02:15:00,1
2019-06-14 02:20:00,1
2019-06-14 02:32:00,1
2019-06-14 02:44:00,1
2019-06-14 02:50:00,1
2019-06-14 02:51:00,1
2019-06-14 02:54:00,1
2019-06-14 02:59:00,1
2019-06-14 03:00:00,1
2019-06-14 03:02:00,1
2019-06-14 03:04:00,1
2019-06-14 03:05:00,1
2019-06-14 03:06:00,1
2019-06-14 03:12:00,1
2019-06-14 03:13:00,1
2019-06-14 03:20:00,1
2019-06-14 03:22:00,2
2019-06-14 03:24:00,1
2019-06-14 03:27:00,1
2019-06-14 03:33:00,1
2019-06-14 03:34:00,1
2019-06-14 03:39:00,1
2019-06-14 03:46:00,2
2019-06-14 03:49:00,1
2019-06-14 03:50:00,1
2019-06-14 03:54:00,1
2019-06-14 04:04:00,1
2019-06-14 04:07:00,1
2019-06-14 04:11:00,2
2019-06-14 04:25:00,1
2019-06-14 04:27:00,1
2019-06-14 04:29:00,1
2019-06-14 04:33:00,1
2019-06-14 04:34:00,1
2019-06-14 04:35:00,1
2019-06-14 04:51:00,1
2019-06-14 04:54:00,1
2019-06-14 04:56:00,2
2019-06-14 04:58:00,1
2019-06-14 05:05:00,1
2019-06-14 05:06:00,1
2019-06-14 05:07:00,2
2019-06-14 05:11:00,1
2019-06-14 05:12:00,1
2019-06-14 05:13:00,1
2019-06-14 05:16:00,2
2019-06-14 05:18:00,1
2019-06-14 05:25:00,1
2019-06-14 05:38:00,3
2019-06-14 05:39:00,1
2019-06-14 05:40:00,1
2019-06-14 05:46:00,2
2019-06-14 05:48:00,1
2019-06-14 05:49:00,2
2019-06-14 05:51:00,1
2019-06-14 06:02:00,1
2019-06-14 06:03:00,2
2019-06-14 06:05:00,1
2019-06-14 06:16:00,1
2019-06-14 06:27:00,1
2019-06-14 06:30:00,1
2019-06-14 06:34:00,1
2019-06-14 06:35:00,1
2019-06-14 06:36:00,1
2019-06-14 06:38:00,1
2019-06-14 06:45:00,1
2019-06-14 06:47:00,2
2019-06-14 06:48:00,1
2019-06-14 06:53:00,1
2019-06-14 06:55:00,1
2019-06-14 07:04:00,1
2019-06-14 07:17:00,1
2019-06-14 07:21:00,1
2019-06-14 07:25:00,2
2019-06-14 07:34:00,1
2019-06-14 07:38:00,1
2019-06-14 07:54:00,1
2019-06-14 07:55:00,1
2019-06-14 07:57:00,1
2019-06-14 08:00:00,1
2019-06-14 08:21:00,1
2019-06-14 08:24:00,1
2019-06-14 08:29:00,1
2019-06-14 08:30:00,1
2019-06-14 08:32:00,1
