437,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-06-16 00:02:00,4
2019-06-16 00:14:00,4
2019-06-16 00:17:00,4
2019-06-16 00:18:00,4
2019-06-16 02:37:00,1
2019-06-16 04:54:00,6
2019-06-16 05:05:00,2
2019-06-16 05:09:00,2
2019-06-16 08:05:00,6
2019-06-16 09:36:00,2
2019-06-16 09:37:00,2
2019-06-16 10:05:00,4
2019-06-16 14:47:00,1
2019-06-16 14:48:00,1
2019-06-16 14:49:00,2
2019-06-16 14:51:00,2
2019-06-16 14:52:00,1
2019-06-16 14:53:00,1
2019-06-16 14:54:00,2
2019-06-16 14:55:00,2
2019-06-16 14:57:00,2
2019-06-16 14:58:00,1
2019-06-16 14:59:00,1
2019-06-16 15:03:00,4
2019-06-16 15:04:00,4
2019-06-16 15:06:00,4
2019-06-16 15:07:00,8
2019-06-16 15:08:00,4
2019-06-16 15:09:00,6
2019-06-16 15:10:00,4
2019-06-16 15:11:00,2
2019-06-16 15:12:00,4
2019-06-16 15:13:00,4
2019-06-16 15:14:00,4
2019-06-16 15:16:00,4
2019-06-16 15:17:00,4
2019-06-16 15:19:00,4
2019-06-16 15:20:00,4
2019-06-16 15:21:00,1
2019-06-16 15:22:00,3
2019-06-16 15:23:00,4
2019-06-16 15:24:00,4
2019-06-16 15:25:00,6
2019-06-16 15:26:00,4
2019-06-16 15:27:00,6
2019-06-16 15:28:00,2
2019-06-16 15:29:00,4
2019-06-16 15:30:00,6
2019-06-16 15:31:00,6
2019-06-16 15:32:00,2
2019-06-16 15:33:00,8
2019-06-16 15:34:00,2
2019-06-16 15:35:00,4
2019-06-16 15:36:00,6
2019-06-16 15:37:00,6
2019-06-16 15:38:00,4
2019-06-16 15:39:00,4
2019-06-16 15:40:00,8
2019-06-16 15:41:00,4
2019-06-16 15:42:00,4
2019-06-16 15:43:00,4
2019-06-16 15:44:00,5
2019-06-16 15:45:00,7
2019-06-16 15:46:00,2
2019-06-16 15:47:00,8
2019-06-16 15:48:00,3
2019-06-16 15:49:00,5
2019-06-16 15:50:00,4
2019-06-16 15:51:00,6
2019-06-16 15:52:00,4
2019-06-16 15:53:00,7
2019-06-16 15:54:00,5
2019-06-16 15:55:00,4
2019-06-16 15:56:00,6
2019-06-16 15:57:00,4
2019-06-16 15:58:00,2
2019-06-16 15:59:00,4
2019-06-16 16:00:00,2
2019-06-16 16:01:00,4
2019-06-16 16:02:00,4
2019-06-16 16:04:00,4
2019-06-16 16:05:00,2
2019-06-16 16:06:00,4
2019-06-16 16:07:00,3
2019-06-16 16:08:00,5
2019-06-16 16:09:00,6
2019-06-16 16:10:00,4
2019-06-16 16:11:00,2
2019-06-16 16:12:00,4
2019-06-16 16:13:00,2
2019-06-16 16:14:00,6
2019-06-16 16:15:00,2
2019-06-16 16:16:00,4
2019-06-16 16:17:00,4
2019-06-16 16:18:00,4
2019-06-16 16:19:00,2
2019-06-16 16:20:00,2
2019-06-16 16:21:00,4
2019-06-16 16:23:00,4
2019-06-16 16:24:00,6
2019-06-16 16:25:00,4
2019-06-16 16:26:00,8
2019-06-16 16:27:00,6
2019-06-16 16:28:00,4
2019-06-16 16:29:00,4
2019-06-16 16:30:00,1
2019-06-16 16:31:00,1
2019-06-16 16:32:00,6
2019-06-16 16:33:00,4
2019-06-16 16:34:00,4
2019-06-16 16:35:00,5
2019-06-16 16:36:00,3
2019-06-16 17:09:00,4
