21,"INSERT INTO #upload values ( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #, #),( #, #, #"
2019-06-21 09:05:00,1
2019-06-21 09:40:00,1
2019-06-21 09:46:00,1
2019-06-21 10:09:00,1
2019-06-21 10:14:00,1
2019-06-21 10:16:00,1
2019-06-21 10:18:00,2
2019-06-21 10:41:00,1
2019-06-21 13:07:00,1
2019-06-21 13:08:00,2
2019-06-21 13:11:00,2
2019-06-21 13:19:00,1
2019-06-21 13:26:00,1
2019-06-21 13:31:00,1
2019-06-21 13:33:00,1
2019-06-21 13:34:00,1
2019-06-21 13:36:00,1
2019-06-21 13:38:00,1
