80,select * from fDocFunctionParams(&&&)
2019-06-23 01:45:00,1
2019-06-23 02:48:00,1
2019-06-23 04:01:00,1
2019-06-23 05:03:00,1
2019-06-23 05:42:00,1
2019-06-23 05:47:00,1
2019-06-23 05:57:00,1
2019-06-23 06:18:00,1
2019-06-23 06:19:00,5
2019-06-23 06:20:00,4
2019-06-23 06:21:00,2
2019-06-23 06:26:00,1
2019-06-23 06:27:00,1
2019-06-23 06:44:00,1
2019-06-23 07:12:00,1
2019-06-23 07:54:00,1
2019-06-23 08:08:00,2
2019-06-23 08:09:00,1
2019-06-23 08:10:00,1
2019-06-23 08:34:00,1
2019-06-23 09:52:00,1
2019-06-23 09:54:00,1
2019-06-23 10:22:00,1
2019-06-23 10:55:00,1
2019-06-23 11:13:00,1
2019-06-23 11:19:00,1
2019-06-23 11:37:00,1
2019-06-23 11:56:00,1
2019-06-23 12:13:00,1
2019-06-23 12:16:00,1
2019-06-23 12:20:00,1
2019-06-23 12:37:00,1
2019-06-23 12:43:00,1
2019-06-23 12:46:00,1
2019-06-23 13:53:00,3
2019-06-23 13:54:00,7
2019-06-23 13:55:00,3
2019-06-23 14:03:00,2
2019-06-23 14:38:00,1
2019-06-23 14:47:00,1
2019-06-23 15:06:00,1
2019-06-23 15:42:00,1
2019-06-23 15:44:00,1
2019-06-23 16:07:00,1
2019-06-23 16:46:00,1
2019-06-23 17:02:00,1
2019-06-23 17:04:00,1
2019-06-23 17:14:00,2
2019-06-23 17:30:00,1
2019-06-23 17:31:00,1
2019-06-23 19:40:00,1
2019-06-23 20:15:00,1
2019-06-23 20:16:00,1
2019-06-23 20:57:00,1
2019-06-23 21:00:00,1
2019-06-23 22:13:00,1
2019-06-23 22:42:00,1
2019-06-23 22:48:00,2
