91,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-06-25 10:22:00,1
2019-06-25 10:43:00,1
2019-06-25 10:56:00,1
2019-06-25 11:00:00,1
2019-06-25 11:38:00,1
2019-06-25 11:39:00,3
2019-06-25 11:40:00,3
2019-06-25 11:41:00,3
2019-06-25 11:42:00,3
2019-06-25 11:43:00,2
2019-06-25 11:44:00,3
2019-06-25 11:45:00,1
2019-06-25 11:46:00,2
2019-06-25 11:48:00,1
2019-06-25 11:49:00,2
2019-06-25 11:50:00,3
2019-06-25 11:51:00,2
2019-06-25 11:56:00,3
2019-06-25 11:57:00,4
2019-06-25 11:58:00,1
2019-06-25 11:59:00,1
2019-06-25 12:02:00,1
2019-06-25 12:05:00,1
2019-06-25 12:06:00,1
2019-06-25 12:07:00,1
2019-06-25 12:09:00,1
2019-06-25 12:13:00,1
2019-06-25 12:20:00,2
2019-06-25 12:21:00,1
2019-06-25 12:32:00,1
2019-06-25 12:34:00,1
2019-06-25 12:40:00,1
2019-06-25 12:43:00,1
2019-06-25 12:46:00,1
2019-06-25 12:48:00,1
2019-06-25 12:51:00,1
2019-06-25 12:52:00,1
2019-06-25 13:16:00,1
2019-06-25 13:17:00,3
2019-06-25 13:46:00,1
2019-06-25 13:47:00,1
2019-06-25 13:54:00,1
2019-06-25 14:00:00,1
2019-06-25 14:01:00,2
2019-06-25 14:20:00,1
2019-06-25 16:12:00,1
2019-06-25 16:14:00,2
2019-06-25 16:23:00,1
2019-06-25 16:47:00,1
2019-06-25 18:22:00,1
2019-06-25 19:15:00,1
2019-06-25 19:16:00,1
2019-06-25 19:21:00,1
2019-06-25 19:29:00,3
2019-06-25 19:37:00,1
2019-06-25 19:38:00,1
2019-06-25 19:39:00,1
2019-06-25 19:40:00,1
2019-06-25 19:41:00,1
2019-06-25 19:42:00,1
2019-06-25 19:45:00,1
2019-06-25 19:52:00,1
2019-06-25 19:53:00,1
