89,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-06-25 10:54:00,1
2019-06-25 16:44:00,1
2019-06-25 16:52:00,1
2019-06-25 16:55:00,1
2019-06-25 17:05:00,1
2019-06-25 17:19:00,1
2019-06-25 17:26:00,1
2019-06-25 17:35:00,1
2019-06-25 17:40:00,1
2019-06-25 17:44:00,1
2019-06-25 17:50:00,1
2019-06-25 17:54:00,1
2019-06-25 18:04:00,1
2019-06-25 18:08:00,1
2019-06-25 18:12:00,1
2019-06-25 18:17:00,1
2019-06-25 18:20:00,1
2019-06-25 18:23:00,1
2019-06-25 18:28:00,1
2019-06-25 18:31:00,1
2019-06-25 18:38:00,1
2019-06-25 18:43:00,1
2019-06-25 18:50:00,1
2019-06-25 18:54:00,1
2019-06-25 19:03:00,1
2019-06-25 19:06:00,1
2019-06-25 19:07:00,1
2019-06-25 19:28:00,1
2019-06-25 19:34:00,1
2019-06-25 19:37:00,1
2019-06-25 19:41:00,1
2019-06-25 19:45:00,1
2019-06-25 19:48:00,1
2019-06-25 19:52:00,1
2019-06-25 19:56:00,1
2019-06-25 20:00:00,1
2019-06-25 20:03:00,1
2019-06-25 20:07:00,1
2019-06-25 20:11:00,1
2019-06-25 20:14:00,1
2019-06-25 20:24:00,1
2019-06-25 20:27:00,1
2019-06-25 20:28:00,1
2019-06-25 20:32:00,1
2019-06-25 20:36:00,1
2019-06-25 20:40:00,2
2019-06-25 20:50:00,1
2019-06-25 20:53:00,2
2019-06-25 20:56:00,1
2019-06-25 21:05:00,1
2019-06-25 21:06:00,1
2019-06-25 21:13:00,2
2019-06-25 21:16:00,2
2019-06-25 21:19:00,1
2019-06-25 21:22:00,1
2019-06-25 21:26:00,1
2019-06-25 21:46:00,1
2019-06-25 21:49:00,1
2019-06-25 21:53:00,1
2019-06-25 21:58:00,1
2019-06-25 22:00:00,1
2019-06-25 22:02:00,1
2019-06-25 22:03:00,1
2019-06-25 22:06:00,1
2019-06-25 22:12:00,2
2019-06-25 22:16:00,2
2019-06-25 22:34:00,1
2019-06-25 22:37:00,1
2019-06-25 22:41:00,1
2019-06-25 22:42:00,1
2019-06-25 22:46:00,4
2019-06-25 22:52:00,1
2019-06-25 23:00:00,1
2019-06-25 23:05:00,1
2019-06-25 23:17:00,1
2019-06-25 23:40:00,1
2019-06-25 23:44:00,1
2019-06-25 23:45:00,1
2019-06-25 23:46:00,1
2019-06-25 23:49:00,1
