31460,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID WHERE G.modelMag_r < # and G.modelMag_g < #"
2019-06-26 00:00:00,51
2019-06-26 00:01:00,51
2019-06-26 00:02:00,51
2019-06-26 00:03:00,52
2019-06-26 00:04:00,51
2019-06-26 00:05:00,49
2019-06-26 00:06:00,41
2019-06-26 00:07:00,48
2019-06-26 00:08:00,51
2019-06-26 00:09:00,51
2019-06-26 00:10:00,47
2019-06-26 00:11:00,47
2019-06-26 00:12:00,50
2019-06-26 00:13:00,49
2019-06-26 00:14:00,49
2019-06-26 00:15:00,47
2019-06-26 00:16:00,47
2019-06-26 00:17:00,2
2019-06-26 04:17:00,14
2019-06-26 04:18:00,55
2019-06-26 04:19:00,58
2019-06-26 04:20:00,58
2019-06-26 04:21:00,59
2019-06-26 04:22:00,58
2019-06-26 04:23:00,58
2019-06-26 04:24:00,58
2019-06-26 04:25:00,45
2019-06-26 04:26:00,42
2019-06-26 04:27:00,56
2019-06-26 04:28:00,57
2019-06-26 04:29:00,58
2019-06-26 04:30:00,53
2019-06-26 04:31:00,57
2019-06-26 04:32:00,58
2019-06-26 04:33:00,55
2019-06-26 04:34:00,53
2019-06-26 04:35:00,56
2019-06-26 04:36:00,50
2019-06-26 04:37:00,56
2019-06-26 04:38:00,58
2019-06-26 04:39:00,59
2019-06-26 04:40:00,52
2019-06-26 04:41:00,55
2019-06-26 04:42:00,53
2019-06-26 04:43:00,55
2019-06-26 04:44:00,55
2019-06-26 04:45:00,55
2019-06-26 04:46:00,50
2019-06-26 04:47:00,55
2019-06-26 04:48:00,56
2019-06-26 04:49:00,54
2019-06-26 04:50:00,54
2019-06-26 04:51:00,57
2019-06-26 04:52:00,55
2019-06-26 04:53:00,55
2019-06-26 04:54:00,54
2019-06-26 04:55:00,48
2019-06-26 04:56:00,48
2019-06-26 04:57:00,53
2019-06-26 04:58:00,49
