183,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-06-30 05:01:00,1
2019-06-30 05:02:00,5
2019-06-30 05:03:00,5
2019-06-30 05:04:00,5
2019-06-30 05:05:00,5
2019-06-30 05:06:00,4
2019-06-30 05:07:00,11
2019-06-30 05:08:00,13
2019-06-30 05:09:00,14
2019-06-30 05:10:00,14
2019-06-30 05:11:00,13
2019-06-30 05:12:00,15
2019-06-30 05:13:00,14
2019-06-30 05:14:00,13
2019-06-30 05:15:00,4
2019-06-30 05:23:00,2
2019-06-30 18:00:00,4
2019-06-30 18:01:00,14
2019-06-30 18:02:00,13
2019-06-30 18:03:00,8
2019-06-30 18:04:00,5
2019-06-30 18:05:00,1
