12,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-07-04 17:07:00,1
2019-07-04 17:17:00,1
2019-07-04 17:20:00,1
2019-07-04 17:22:00,1
2019-07-04 17:25:00,1
2019-07-04 17:30:00,1
2019-07-04 17:32:00,1
2019-07-04 17:38:00,2
2019-07-04 17:44:00,1
2019-07-04 17:47:00,1
2019-07-04 18:03:00,1
