44,"select p.objID,p.ra,p.dec,p.run,p.rerun,p.camcol,p.field,p.obj,dbo.fGetUrlFitsCFrame(fieldid,&&&),gn.distance FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID ORDER BY distance"
2019-07-16 22:20:00,1
2019-07-16 22:21:00,3
2019-07-16 22:22:00,3
2019-07-16 22:23:00,3
2019-07-16 22:24:00,3
2019-07-16 22:25:00,3
2019-07-16 22:26:00,3
2019-07-16 22:27:00,2
2019-07-16 22:41:00,2
2019-07-16 22:42:00,4
2019-07-16 22:43:00,3
2019-07-16 22:44:00,3
2019-07-16 22:45:00,3
2019-07-16 22:46:00,3
2019-07-16 22:47:00,3
2019-07-16 23:10:00,1
2019-07-16 23:11:00,1
