12,"SELECT TOP # &&& + cast(p.objId as varchar(#)) +&&& + cast(p.objId as varchar(#)) + &&& as objID,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.r between # AND #"
2019-07-18 07:37:00,1
2019-07-18 07:39:00,1
2019-07-18 07:40:00,2
2019-07-18 07:43:00,1
2019-07-18 07:44:00,2
2019-07-18 07:55:00,1
2019-07-18 08:03:00,1
2019-07-18 08:04:00,1
2019-07-18 08:18:00,1
2019-07-18 10:15:00,1
