29,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid"
2019-07-19 15:14:00,1
2019-07-19 15:27:00,1
2019-07-19 15:31:00,1
2019-07-19 15:32:00,1
2019-07-19 15:35:00,1
2019-07-19 15:36:00,1
2019-07-19 15:40:00,1
2019-07-19 15:41:00,1
2019-07-19 15:53:00,1
2019-07-19 15:55:00,1
2019-07-19 15:57:00,1
2019-07-19 15:58:00,1
2019-07-19 16:03:00,1
2019-07-19 16:05:00,1
2019-07-19 16:07:00,1
2019-07-19 16:08:00,1
2019-07-19 16:11:00,1
2019-07-19 16:12:00,1
2019-07-19 16:14:00,1
2019-07-19 16:38:00,1
2019-07-19 16:40:00,1
2019-07-19 16:41:00,1
2019-07-19 16:43:00,1
2019-07-19 16:45:00,1
2019-07-19 16:46:00,1
2019-07-19 16:50:00,1
2019-07-19 17:02:00,1
2019-07-19 17:03:00,1
2019-07-19 17:17:00,1
