163,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-07-23 14:53:00,9
2019-07-23 14:54:00,9
2019-07-23 14:57:00,9
2019-07-23 14:59:00,9
2019-07-23 15:01:00,9
2019-07-23 16:22:00,19
2019-07-23 16:24:00,9
2019-07-23 16:25:00,9
2019-07-23 16:28:00,9
2019-07-23 16:32:00,9
2019-07-23 16:34:00,9
2019-07-23 16:35:00,5
2019-07-23 16:36:00,4
2019-07-23 16:37:00,9
2019-07-23 16:46:00,9
2019-07-23 16:47:00,9
2019-07-23 18:19:00,9
2019-07-23 18:21:00,9
