1367,"SELECT  &&& + cast(p.apstar_id as varchar(#)) + &&& + cast(p.apstar_id as varchar(#)) + &&& as apstar_id,    p.apogee_id,p.ra, p.dec, p.glon, p.glat,    p.vhelio_avg,p.vscatter,    a.teff,a.logg,a.metals    FROM apogeeStar p    JOIN fGetNearbyApogeeStarEq(#,#,#) n on p.apstar_id=n.apstar_id    JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-07-29 00:03:00,1
2019-07-29 00:04:00,1
2019-07-29 00:05:00,2
2019-07-29 00:07:00,1
2019-07-29 00:08:00,4
2019-07-29 00:13:00,1
2019-07-29 00:14:00,1
2019-07-29 00:15:00,2
2019-07-29 00:17:00,1
2019-07-29 00:18:00,6
2019-07-29 00:23:00,1
2019-07-29 00:24:00,1
2019-07-29 00:25:00,2
2019-07-29 00:28:00,8
2019-07-29 00:33:00,1
2019-07-29 00:34:00,1
2019-07-29 00:35:00,2
2019-07-29 00:38:00,7
2019-07-29 00:43:00,1
2019-07-29 00:44:00,1
2019-07-29 00:45:00,2
2019-07-29 00:48:00,6
2019-07-29 00:53:00,1
2019-07-29 00:54:00,1
2019-07-29 00:55:00,2
2019-07-29 00:58:00,5
2019-07-29 01:03:00,1
2019-07-29 01:04:00,1
2019-07-29 01:05:00,2
2019-07-29 01:08:00,5
2019-07-29 01:13:00,1
2019-07-29 01:14:00,1
2019-07-29 01:15:00,2
2019-07-29 01:18:00,5
2019-07-29 01:23:00,1
2019-07-29 01:24:00,1
2019-07-29 01:25:00,2
2019-07-29 01:28:00,5
2019-07-29 01:33:00,1
2019-07-29 01:34:00,1
2019-07-29 01:35:00,2
2019-07-29 01:38:00,5
2019-07-29 01:43:00,1
2019-07-29 01:44:00,1
2019-07-29 01:45:00,2
2019-07-29 01:48:00,5
2019-07-29 01:53:00,1
2019-07-29 01:54:00,1
2019-07-29 01:55:00,2
2019-07-29 01:58:00,5
2019-07-29 02:03:00,1
2019-07-29 02:04:00,1
2019-07-29 02:05:00,2
2019-07-29 02:08:00,5
2019-07-29 02:13:00,1
2019-07-29 02:14:00,1
2019-07-29 02:15:00,2
2019-07-29 02:18:00,5
2019-07-29 02:23:00,1
2019-07-29 02:24:00,1
2019-07-29 02:25:00,2
2019-07-29 02:28:00,5
2019-07-29 02:33:00,1
2019-07-29 02:34:00,1
2019-07-29 02:35:00,2
2019-07-29 02:38:00,5
2019-07-29 02:43:00,1
2019-07-29 02:44:00,1
2019-07-29 02:45:00,2
2019-07-29 02:48:00,6
2019-07-29 02:53:00,1
2019-07-29 02:54:00,1
2019-07-29 02:55:00,2
2019-07-29 02:58:00,5
2019-07-29 03:03:00,1
2019-07-29 03:04:00,1
2019-07-29 03:05:00,2
2019-07-29 03:08:00,5
2019-07-29 03:13:00,1
2019-07-29 03:14:00,1
2019-07-29 03:15:00,2
2019-07-29 03:18:00,5
2019-07-29 03:23:00,1
2019-07-29 03:24:00,1
2019-07-29 03:25:00,2
2019-07-29 03:28:00,5
2019-07-29 03:33:00,1
2019-07-29 03:34:00,1
2019-07-29 03:35:00,2
2019-07-29 03:38:00,5
2019-07-29 03:43:00,1
2019-07-29 03:44:00,1
2019-07-29 03:45:00,2
2019-07-29 03:48:00,5
2019-07-29 03:53:00,1
2019-07-29 03:54:00,1
2019-07-29 03:55:00,2
2019-07-29 03:58:00,5
2019-07-29 04:03:00,1
2019-07-29 04:04:00,1
2019-07-29 04:05:00,2
2019-07-29 04:08:00,5
2019-07-29 04:13:00,1
2019-07-29 04:14:00,1
2019-07-29 04:15:00,2
2019-07-29 04:18:00,8
2019-07-29 04:23:00,1
2019-07-29 04:24:00,1
2019-07-29 04:25:00,2
2019-07-29 04:28:00,7
2019-07-29 04:33:00,1
2019-07-29 04:34:00,1
2019-07-29 04:35:00,2
2019-07-29 04:38:00,7
2019-07-29 04:43:00,1
2019-07-29 04:44:00,1
2019-07-29 04:45:00,2
2019-07-29 04:48:00,5
2019-07-29 04:53:00,1
2019-07-29 04:54:00,1
2019-07-29 04:55:00,2
2019-07-29 04:58:00,5
2019-07-29 05:03:00,1
2019-07-29 05:04:00,1
2019-07-29 05:08:00,5
2019-07-29 05:13:00,1
2019-07-29 05:14:00,1
2019-07-29 05:15:00,2
2019-07-29 05:18:00,6
2019-07-29 05:23:00,1
2019-07-29 05:24:00,1
2019-07-29 05:25:00,2
2019-07-29 05:28:00,5
2019-07-29 05:33:00,1
2019-07-29 05:34:00,1
2019-07-29 05:35:00,2
2019-07-29 05:38:00,7
2019-07-29 05:43:00,1
2019-07-29 05:44:00,1
2019-07-29 05:45:00,2
2019-07-29 05:48:00,6
2019-07-29 05:53:00,1
2019-07-29 05:54:00,1
2019-07-29 05:55:00,2
2019-07-29 05:58:00,5
2019-07-29 06:03:00,1
2019-07-29 06:04:00,1
2019-07-29 06:08:00,5
2019-07-29 06:13:00,1
2019-07-29 06:14:00,1
2019-07-29 06:15:00,2
2019-07-29 06:18:00,5
2019-07-29 06:23:00,1
2019-07-29 06:24:00,1
2019-07-29 06:26:00,2
2019-07-29 06:28:00,5
2019-07-29 06:33:00,1
2019-07-29 06:34:00,1
2019-07-29 06:36:00,2
2019-07-29 06:38:00,7
2019-07-29 06:43:00,1
2019-07-29 06:44:00,1
2019-07-29 06:46:00,2
2019-07-29 06:48:00,5
2019-07-29 06:53:00,1
2019-07-29 06:54:00,1
2019-07-29 06:56:00,2
2019-07-29 06:58:00,5
2019-07-29 07:03:00,1
2019-07-29 07:04:00,1
2019-07-29 07:06:00,2
2019-07-29 07:08:00,5
2019-07-29 07:13:00,1
2019-07-29 07:14:00,1
2019-07-29 07:16:00,2
2019-07-29 07:18:00,5
