14484,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-29 00:01:00,3
2019-07-29 00:02:00,1
2019-07-29 00:03:00,10
2019-07-29 00:04:00,56
2019-07-29 00:05:00,6
2019-07-29 00:06:00,9
2019-07-29 00:07:00,10
2019-07-29 00:08:00,1
2019-07-29 00:09:00,3
2019-07-29 00:11:00,3
2019-07-29 00:12:00,1
2019-07-29 00:13:00,10
2019-07-29 00:14:00,56
2019-07-29 00:15:00,6
2019-07-29 00:16:00,9
2019-07-29 00:17:00,10
2019-07-29 00:18:00,1
2019-07-29 00:19:00,3
2019-07-29 00:21:00,3
2019-07-29 00:22:00,1
2019-07-29 00:23:00,10
2019-07-29 00:24:00,56
2019-07-29 00:25:00,6
2019-07-29 00:26:00,9
2019-07-29 00:27:00,9
2019-07-29 00:28:00,2
2019-07-29 00:29:00,3
2019-07-29 00:31:00,3
2019-07-29 00:32:00,1
2019-07-29 00:33:00,10
2019-07-29 00:34:00,56
2019-07-29 00:35:00,6
2019-07-29 00:36:00,9
2019-07-29 00:37:00,9
2019-07-29 00:38:00,2
2019-07-29 00:39:00,3
2019-07-29 00:41:00,3
2019-07-29 00:42:00,1
2019-07-29 00:43:00,10
2019-07-29 00:44:00,57
2019-07-29 00:45:00,6
2019-07-29 00:46:00,9
2019-07-29 00:47:00,9
2019-07-29 00:48:00,2
2019-07-29 00:49:00,3
2019-07-29 00:51:00,3
2019-07-29 00:52:00,1
2019-07-29 00:53:00,10
2019-07-29 00:54:00,57
2019-07-29 00:55:00,6
2019-07-29 00:56:00,9
2019-07-29 00:57:00,9
2019-07-29 00:58:00,2
2019-07-29 00:59:00,3
2019-07-29 01:01:00,3
2019-07-29 01:02:00,1
2019-07-29 01:03:00,10
2019-07-29 01:04:00,56
2019-07-29 01:05:00,6
2019-07-29 01:06:00,9
2019-07-29 01:07:00,9
2019-07-29 01:08:00,2
2019-07-29 01:09:00,3
2019-07-29 01:11:00,3
2019-07-29 01:12:00,1
2019-07-29 01:13:00,10
2019-07-29 01:14:00,56
2019-07-29 01:15:00,6
2019-07-29 01:16:00,11
2019-07-29 01:17:00,9
2019-07-29 01:18:00,2
2019-07-29 01:19:00,3
2019-07-29 01:21:00,3
2019-07-29 01:22:00,1
2019-07-29 01:23:00,10
2019-07-29 01:24:00,58
2019-07-29 01:25:00,6
2019-07-29 01:26:00,9
2019-07-29 01:27:00,9
2019-07-29 01:28:00,2
2019-07-29 01:29:00,3
2019-07-29 01:31:00,3
2019-07-29 01:32:00,1
2019-07-29 01:33:00,10
2019-07-29 01:34:00,56
2019-07-29 01:35:00,6
2019-07-29 01:36:00,9
2019-07-29 01:37:00,9
2019-07-29 01:38:00,2
2019-07-29 01:39:00,3
2019-07-29 01:41:00,2
2019-07-29 01:42:00,2
2019-07-29 01:43:00,10
2019-07-29 01:44:00,56
2019-07-29 01:45:00,6
2019-07-29 01:46:00,11
2019-07-29 01:47:00,10
2019-07-29 01:48:00,2
2019-07-29 01:49:00,3
2019-07-29 01:51:00,3
2019-07-29 01:52:00,1
2019-07-29 01:53:00,10
2019-07-29 01:54:00,56
2019-07-29 01:55:00,6
2019-07-29 01:56:00,9
2019-07-29 01:57:00,9
2019-07-29 01:58:00,2
