193,select * from galSpecInfo where specObjId=#
2019-08-05 00:14:00,10
2019-08-05 00:21:00,5
2019-08-05 00:22:00,37
2019-08-05 00:23:00,27
2019-08-05 00:59:00,1
2019-08-05 03:32:00,1
2019-08-05 05:24:00,1
2019-08-05 07:57:00,1
2019-08-05 09:54:00,3
2019-08-05 09:55:00,39
2019-08-05 09:56:00,28
2019-08-05 10:04:00,1
2019-08-05 11:17:00,1
2019-08-05 11:40:00,13
2019-08-05 15:22:00,1
2019-08-05 15:37:00,10
2019-08-05 15:38:00,6
2019-08-05 17:41:00,2
2019-08-05 21:36:00,4
2019-08-05 23:04:00,2
