50,"SELECT TOP # p.objid,  p.type, p.ra, p.dec, p.g, distance  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID order by distance"
2019-08-08 07:02:00,2
2019-08-08 07:03:00,1
2019-08-08 07:04:00,2
2019-08-08 07:05:00,1
2019-08-08 07:06:00,1
2019-08-08 07:07:00,2
2019-08-08 07:08:00,1
2019-08-08 07:09:00,2
2019-08-08 07:10:00,1
2019-08-08 07:11:00,1
2019-08-08 07:12:00,2
2019-08-08 07:13:00,1
2019-08-08 07:14:00,1
2019-08-08 07:15:00,2
2019-08-08 07:16:00,1
2019-08-08 07:17:00,2
2019-08-08 07:18:00,1
2019-08-08 07:19:00,1
2019-08-08 07:20:00,2
2019-08-08 07:21:00,1
2019-08-08 07:22:00,1
2019-08-08 07:23:00,1
2019-08-08 07:24:00,2
2019-08-08 07:25:00,1
2019-08-08 07:26:00,1
2019-08-08 07:27:00,2
2019-08-08 07:28:00,1
2019-08-08 07:29:00,1
2019-08-08 07:30:00,1
2019-08-08 07:31:00,2
2019-08-08 07:32:00,1
2019-08-08 07:33:00,1
2019-08-08 07:34:00,2
2019-08-08 07:35:00,1
2019-08-08 07:36:00,1
2019-08-08 07:37:00,2
2019-08-08 07:38:00,1
