288,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-08-15 06:36:00,2
2019-08-15 06:37:00,3
2019-08-15 06:38:00,3
2019-08-15 06:39:00,4
2019-08-15 06:40:00,2
2019-08-15 06:41:00,4
2019-08-15 06:42:00,3
2019-08-15 06:43:00,4
2019-08-15 06:44:00,3
2019-08-15 06:45:00,3
2019-08-15 06:46:00,4
2019-08-15 06:47:00,2
2019-08-15 06:48:00,4
2019-08-15 06:49:00,4
2019-08-15 06:50:00,3
2019-08-15 06:51:00,4
2019-08-15 06:52:00,3
2019-08-15 06:53:00,4
2019-08-15 06:54:00,3
2019-08-15 06:55:00,4
2019-08-15 06:56:00,3
2019-08-15 06:57:00,4
2019-08-15 06:58:00,5
2019-08-15 06:59:00,4
2019-08-15 07:00:00,3
2019-08-15 07:01:00,4
2019-08-15 07:02:00,3
2019-08-15 07:03:00,4
2019-08-15 07:04:00,4
2019-08-15 07:05:00,3
2019-08-15 07:06:00,4
2019-08-15 07:07:00,4
2019-08-15 07:08:00,3
2019-08-15 07:09:00,4
2019-08-15 07:10:00,4
2019-08-15 07:11:00,4
2019-08-15 07:12:00,4
2019-08-15 07:13:00,4
2019-08-15 07:14:00,2
2019-08-15 07:15:00,4
2019-08-15 07:16:00,4
2019-08-15 07:17:00,3
2019-08-15 07:18:00,2
2019-08-15 07:19:00,4
2019-08-15 07:20:00,4
2019-08-15 07:21:00,3
2019-08-15 07:22:00,4
2019-08-15 07:23:00,4
2019-08-15 07:24:00,4
2019-08-15 07:25:00,4
2019-08-15 07:26:00,4
2019-08-15 07:27:00,4
2019-08-15 07:28:00,4
2019-08-15 07:29:00,4
2019-08-15 07:30:00,4
2019-08-15 07:31:00,3
2019-08-15 07:32:00,4
2019-08-15 07:33:00,4
2019-08-15 07:34:00,4
2019-08-15 07:35:00,4
2019-08-15 07:36:00,3
2019-08-15 07:44:00,1
2019-08-15 07:45:00,3
2019-08-15 07:46:00,4
2019-08-15 07:47:00,4
2019-08-15 07:48:00,4
2019-08-15 07:49:00,4
2019-08-15 07:50:00,3
2019-08-15 07:51:00,5
2019-08-15 07:52:00,3
2019-08-15 07:53:00,4
2019-08-15 07:54:00,4
2019-08-15 07:55:00,4
2019-08-15 07:56:00,4
2019-08-15 07:57:00,4
2019-08-15 07:58:00,4
2019-08-15 07:59:00,4
2019-08-15 08:00:00,4
2019-08-15 08:01:00,4
2019-08-15 08:02:00,3
