56,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-08-18 00:02:00,1
2019-08-18 00:04:00,1
2019-08-18 00:05:00,1
2019-08-18 00:07:00,1
2019-08-18 00:10:00,1
2019-08-18 00:13:00,1
2019-08-18 00:14:00,1
2019-08-18 00:17:00,1
2019-08-18 00:18:00,1
2019-08-18 00:21:00,1
2019-08-18 00:23:00,1
2019-08-18 00:24:00,1
2019-08-18 00:26:00,1
2019-08-18 00:29:00,1
2019-08-18 00:32:00,1
2019-08-18 00:33:00,1
2019-08-18 00:35:00,1
2019-08-18 00:38:00,1
2019-08-18 00:41:00,2
2019-08-18 00:45:00,1
2019-08-18 00:46:00,1
2019-08-18 01:33:00,1
2019-08-18 01:39:00,1
2019-08-18 01:43:00,1
2019-08-18 04:49:00,1
2019-08-18 04:56:00,1
2019-08-18 04:57:00,1
2019-08-18 04:58:00,1
2019-08-18 05:00:00,1
2019-08-18 05:07:00,2
2019-08-18 05:09:00,2
2019-08-18 05:11:00,1
2019-08-18 05:18:00,1
2019-08-18 23:20:00,1
2019-08-18 23:21:00,1
2019-08-18 23:24:00,1
2019-08-18 23:27:00,2
2019-08-18 23:31:00,1
2019-08-18 23:32:00,1
2019-08-18 23:33:00,1
2019-08-18 23:37:00,1
2019-08-18 23:38:00,1
2019-08-18 23:41:00,1
2019-08-18 23:42:00,1
2019-08-18 23:45:00,1
2019-08-18 23:46:00,1
2019-08-18 23:48:00,1
2019-08-18 23:51:00,1
2019-08-18 23:52:00,1
2019-08-18 23:55:00,1
2019-08-18 23:56:00,1
2019-08-18 23:58:00,1
