507,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-08-29 00:01:00,2
2019-08-29 00:03:00,1
2019-08-29 00:04:00,1
2019-08-29 00:05:00,1
2019-08-29 00:06:00,2
2019-08-29 00:08:00,2
2019-08-29 00:11:00,1
2019-08-29 00:12:00,2
2019-08-29 00:13:00,1
2019-08-29 00:17:00,1
2019-08-29 00:20:00,1
2019-08-29 00:21:00,1
2019-08-29 00:26:00,1
2019-08-29 00:29:00,2
2019-08-29 00:33:00,2
2019-08-29 00:36:00,1
2019-08-29 00:37:00,1
2019-08-29 00:51:00,1
2019-08-29 00:52:00,1
2019-08-29 00:58:00,2
2019-08-29 01:04:00,1
2019-08-29 01:05:00,1
2019-08-29 01:11:00,2
2019-08-29 01:17:00,1
2019-08-29 01:18:00,1
2019-08-29 01:22:00,1
2019-08-29 01:25:00,1
2019-08-29 01:29:00,1
2019-08-29 01:31:00,1
2019-08-29 01:34:00,1
2019-08-29 01:40:00,1
2019-08-29 01:41:00,1
2019-08-29 01:47:00,1
2019-08-29 01:48:00,1
2019-08-29 01:52:00,1
2019-08-29 01:53:00,2
2019-08-29 02:00:00,2
2019-08-29 02:07:00,1
2019-08-29 02:08:00,1
2019-08-29 02:15:00,2
2019-08-29 02:22:00,2
2019-08-29 02:31:00,1
2019-08-29 02:32:00,1
2019-08-29 02:39:00,2
2019-08-29 02:47:00,1
2019-08-29 02:48:00,1
2019-08-29 02:55:00,1
2019-08-29 03:01:00,1
2019-08-29 03:02:00,1
2019-08-29 03:08:00,2
2019-08-29 03:15:00,2
2019-08-29 03:22:00,2
2019-08-29 03:30:00,1
2019-08-29 03:31:00,1
2019-08-29 03:35:00,1
2019-08-29 03:38:00,1
2019-08-29 03:40:00,2
2019-08-29 03:42:00,2
2019-08-29 03:45:00,1
2019-08-29 03:48:00,1
2019-08-29 03:51:00,2
2019-08-29 03:53:00,1
2019-08-29 03:54:00,1
2019-08-29 03:59:00,1
2019-08-29 04:00:00,1
2019-08-29 04:01:00,1
2019-08-29 04:04:00,1
2019-08-29 04:05:00,1
2019-08-29 04:10:00,2
2019-08-29 04:11:00,1
2019-08-29 04:15:00,1
2019-08-29 04:16:00,1
2019-08-29 04:21:00,1
2019-08-29 04:24:00,1
2019-08-29 04:28:00,1
2019-08-29 04:29:00,1
2019-08-29 04:32:00,2
2019-08-29 04:35:00,2
2019-08-29 04:37:00,1
2019-08-29 04:38:00,1
2019-08-29 04:41:00,2
2019-08-29 04:43:00,2
2019-08-29 04:46:00,2
2019-08-29 04:48:00,1
2019-08-29 04:49:00,1
2019-08-29 04:53:00,2
2019-08-29 04:57:00,2
2019-08-29 04:59:00,2
2019-08-29 05:17:00,1
2019-08-29 05:18:00,1
2019-08-29 05:21:00,1
2019-08-29 05:23:00,2
2019-08-29 05:25:00,2
2019-08-29 05:30:00,1
2019-08-29 05:31:00,1
