49,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-08-30 04:06:00,1
2019-08-30 07:36:00,2
2019-08-30 07:48:00,1
2019-08-30 07:49:00,2
2019-08-30 07:50:00,2
2019-08-30 07:51:00,3
2019-08-30 07:52:00,2
2019-08-30 08:37:00,1
2019-08-30 08:38:00,2
2019-08-30 09:59:00,1
2019-08-30 11:50:00,1
2019-08-30 12:20:00,2
2019-08-30 12:21:00,3
2019-08-30 12:51:00,1
2019-08-30 12:52:00,1
2019-08-30 18:53:00,1
2019-08-30 19:42:00,1
2019-08-30 20:27:00,2
2019-08-30 20:28:00,4
2019-08-30 20:29:00,3
2019-08-30 20:30:00,1
2019-08-30 21:08:00,1
2019-08-30 21:09:00,3
2019-08-30 21:10:00,4
2019-08-30 21:11:00,1
2019-08-30 21:36:00,1
2019-08-30 21:37:00,1
2019-08-30 23:19:00,1
