149,select * from dbo.fDocColumns(&&&)
2019-08-31 00:18:00,1
2019-08-31 00:40:00,1
2019-08-31 00:41:00,1
2019-08-31 00:46:00,1
2019-08-31 01:04:00,1
2019-08-31 01:18:00,1
2019-08-31 01:31:00,1
2019-08-31 01:33:00,1
2019-08-31 01:45:00,5
2019-08-31 02:08:00,2
2019-08-31 02:39:00,1
2019-08-31 02:46:00,5
2019-08-31 02:47:00,6
2019-08-31 02:48:00,6
2019-08-31 03:03:00,1
2019-08-31 03:04:00,1
2019-08-31 03:22:00,1
2019-08-31 03:31:00,1
2019-08-31 04:36:00,2
2019-08-31 04:43:00,2
2019-08-31 05:02:00,1
2019-08-31 05:09:00,1
2019-08-31 05:14:00,1
2019-08-31 05:19:00,1
2019-08-31 05:33:00,2
2019-08-31 05:34:00,1
2019-08-31 06:03:00,1
2019-08-31 06:06:00,1
2019-08-31 06:12:00,1
2019-08-31 06:16:00,2
2019-08-31 06:19:00,2
2019-08-31 06:35:00,3
2019-08-31 06:56:00,1
2019-08-31 07:20:00,1
2019-08-31 08:48:00,1
2019-08-31 08:50:00,1
2019-08-31 08:53:00,1
2019-08-31 09:28:00,2
2019-08-31 09:36:00,1
2019-08-31 09:42:00,1
2019-08-31 09:45:00,2
2019-08-31 10:14:00,1
2019-08-31 11:02:00,2
2019-08-31 11:09:00,2
2019-08-31 11:12:00,2
2019-08-31 11:20:00,1
2019-08-31 11:21:00,2
2019-08-31 11:31:00,4
2019-08-31 11:32:00,2
2019-08-31 11:35:00,1
2019-08-31 11:50:00,1
2019-08-31 12:30:00,1
2019-08-31 12:38:00,1
2019-08-31 12:42:00,1
2019-08-31 12:51:00,1
2019-08-31 12:59:00,2
2019-08-31 13:04:00,2
2019-08-31 13:07:00,2
2019-08-31 13:10:00,1
2019-08-31 13:27:00,2
2019-08-31 13:41:00,1
2019-08-31 14:00:00,1
2019-08-31 14:32:00,1
2019-08-31 14:45:00,1
2019-08-31 14:52:00,1
2019-08-31 14:57:00,1
2019-08-31 15:01:00,1
2019-08-31 15:22:00,1
2019-08-31 15:34:00,1
2019-08-31 15:36:00,2
2019-08-31 15:59:00,1
2019-08-31 16:38:00,1
2019-08-31 17:06:00,2
2019-08-31 17:40:00,1
2019-08-31 17:53:00,1
2019-08-31 17:55:00,1
2019-08-31 18:34:00,2
2019-08-31 18:36:00,2
2019-08-31 18:55:00,1
2019-08-31 19:20:00,1
2019-08-31 19:23:00,1
2019-08-31 19:33:00,1
2019-08-31 20:01:00,1
2019-08-31 20:40:00,2
2019-08-31 20:48:00,1
2019-08-31 21:13:00,1
2019-08-31 21:19:00,1
2019-08-31 21:21:00,1
2019-08-31 21:37:00,1
2019-08-31 22:03:00,1
2019-08-31 22:23:00,1
2019-08-31 22:28:00,1
2019-08-31 22:31:00,1
2019-08-31 22:33:00,1
2019-08-31 22:36:00,1
2019-08-31 22:41:00,1
2019-08-31 22:42:00,1
2019-08-31 22:43:00,1
2019-08-31 23:03:00,1
2019-08-31 23:11:00,1
2019-08-31 23:14:00,1
2019-08-31 23:17:00,1
2019-08-31 23:38:00,1
2019-08-31 23:46:00,1
