263,"SELECT ra, dec, petroMag_g, petroMagErr_g, petroMag_r, petroMagErr_r, petroMag_i, petroMagErr_i FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g>#)"
2019-08-31 00:02:00,1
2019-08-31 00:06:00,1
2019-08-31 00:07:00,1
2019-08-31 00:10:00,1
2019-08-31 00:15:00,1
2019-08-31 00:18:00,1
2019-08-31 00:22:00,1
2019-08-31 00:26:00,1
2019-08-31 00:27:00,1
2019-08-31 00:30:00,1
2019-08-31 00:31:00,2
2019-08-31 00:33:00,1
2019-08-31 00:34:00,2
2019-08-31 00:35:00,1
2019-08-31 00:36:00,1
2019-08-31 00:37:00,1
2019-08-31 00:38:00,1
2019-08-31 00:39:00,1
2019-08-31 00:42:00,1
2019-08-31 00:47:00,1
2019-08-31 00:53:00,1
2019-08-31 00:55:00,1
2019-08-31 00:56:00,1
2019-08-31 00:57:00,1
2019-08-31 01:01:00,1
2019-08-31 01:03:00,1
2019-08-31 01:09:00,1
2019-08-31 01:11:00,1
2019-08-31 01:13:00,1
2019-08-31 01:15:00,2
2019-08-31 01:16:00,1
2019-08-31 01:18:00,1
2019-08-31 01:22:00,1
2019-08-31 01:23:00,2
2019-08-31 01:27:00,1
2019-08-31 01:31:00,1
2019-08-31 01:34:00,1
2019-08-31 01:36:00,1
2019-08-31 01:38:00,1
2019-08-31 01:41:00,1
2019-08-31 01:43:00,2
2019-08-31 01:47:00,1
2019-08-31 01:48:00,1
2019-08-31 01:49:00,1
2019-08-31 01:51:00,1
2019-08-31 01:53:00,1
2019-08-31 01:57:00,1
2019-08-31 01:58:00,2
2019-08-31 01:59:00,1
2019-08-31 02:00:00,1
2019-08-31 02:01:00,1
2019-08-31 02:02:00,1
2019-08-31 02:03:00,1
2019-08-31 02:04:00,1
2019-08-31 02:05:00,1
2019-08-31 02:06:00,1
2019-08-31 02:07:00,1
2019-08-31 02:08:00,1
2019-08-31 02:11:00,1
2019-08-31 02:15:00,1
2019-08-31 02:19:00,1
2019-08-31 02:22:00,1
2019-08-31 02:26:00,1
2019-08-31 02:29:00,1
2019-08-31 02:33:00,1
2019-08-31 02:36:00,1
2019-08-31 02:38:00,1
2019-08-31 02:39:00,1
2019-08-31 02:40:00,1
2019-08-31 02:42:00,1
2019-08-31 02:44:00,1
2019-08-31 02:46:00,1
2019-08-31 02:49:00,1
2019-08-31 02:50:00,1
2019-08-31 02:51:00,1
2019-08-31 02:53:00,1
2019-08-31 02:56:00,1
2019-08-31 02:58:00,1
2019-08-31 03:02:00,1
2019-08-31 03:04:00,1
2019-08-31 03:06:00,1
2019-08-31 03:08:00,1
2019-08-31 03:10:00,1
2019-08-31 03:12:00,1
2019-08-31 03:15:00,1
2019-08-31 03:20:00,1
2019-08-31 03:26:00,1
2019-08-31 03:30:00,1
2019-08-31 03:32:00,1
2019-08-31 03:36:00,1
2019-08-31 03:37:00,1
2019-08-31 03:38:00,1
2019-08-31 03:41:00,1
2019-08-31 03:44:00,1
2019-08-31 03:46:00,1
2019-08-31 03:49:00,1
2019-08-31 03:51:00,1
2019-08-31 03:53:00,1
2019-08-31 03:56:00,1
2019-08-31 03:59:00,1
2019-08-31 04:00:00,1
2019-08-31 04:02:00,1
2019-08-31 04:03:00,1
2019-08-31 04:05:00,1
2019-08-31 04:06:00,1
2019-08-31 04:08:00,1
2019-08-31 04:10:00,1
2019-08-31 04:12:00,1
2019-08-31 04:15:00,1
2019-08-31 04:18:00,1
2019-08-31 04:22:00,1
2019-08-31 04:23:00,1
2019-08-31 04:27:00,1
2019-08-31 04:29:00,1
2019-08-31 04:31:00,1
2019-08-31 04:34:00,1
2019-08-31 04:36:00,1
2019-08-31 04:39:00,1
2019-08-31 04:41:00,1
2019-08-31 04:43:00,1
2019-08-31 04:45:00,1
2019-08-31 04:47:00,1
2019-08-31 04:49:00,1
2019-08-31 04:50:00,1
2019-08-31 04:51:00,1
2019-08-31 04:54:00,1
2019-08-31 04:57:00,1
2019-08-31 04:59:00,1
