143,"select O.ra, O.dec, O.probPSF, O.psfMag_g from dbo.fGetNearbyObjEq(#,#,#) as N inner join PhotoObjAll as O on O.objID = N.objID order by N.distance"
2019-09-03 20:42:00,9
2019-09-03 20:43:00,7
2019-09-03 20:44:00,6
2019-09-03 20:45:00,3
2019-09-03 20:46:00,6
2019-09-03 20:47:00,2
2019-09-03 20:48:00,6
2019-09-03 20:49:00,10
2019-09-03 20:50:00,11
2019-09-03 20:51:00,9
2019-09-03 20:52:00,3
2019-09-03 21:20:00,1
2019-09-03 21:21:00,12
2019-09-03 21:22:00,6
2019-09-03 21:23:00,4
2019-09-03 21:24:00,2
2019-09-03 22:27:00,8
2019-09-03 22:28:00,17
2019-09-03 22:29:00,16
2019-09-03 22:30:00,4
2019-09-03 22:35:00,1
