800,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-09-06 14:04:00,40
2019-09-06 14:20:00,31
2019-09-06 14:21:00,9
2019-09-06 14:29:00,43
2019-09-06 14:30:00,76
2019-09-06 14:31:00,79
2019-09-06 14:32:00,2
2019-09-06 15:37:00,2
2019-09-06 15:38:00,38
2019-09-06 15:57:00,8
2019-09-06 15:58:00,32
2019-09-06 16:39:00,8
2019-09-06 16:40:00,32
2019-09-06 17:28:00,8
2019-09-06 17:29:00,72
2019-09-06 17:30:00,40
2019-09-06 18:40:00,29
2019-09-06 18:41:00,11
2019-09-06 19:54:00,13
2019-09-06 19:55:00,63
2019-09-06 19:56:00,4
2019-09-06 19:57:00,6
2019-09-06 19:58:00,67
2019-09-06 19:59:00,60
2019-09-06 20:00:00,27
