16,"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_r, type_r, psfMagErr_r FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-09-10 14:19:00,1
2019-09-10 14:29:00,1
2019-09-10 14:37:00,1
2019-09-10 15:00:00,1
2019-09-10 15:05:00,1
2019-09-10 15:10:00,1
2019-09-10 15:14:00,1
2019-09-10 15:18:00,1
2019-09-10 15:24:00,1
2019-09-10 15:28:00,1
2019-09-10 15:32:00,1
2019-09-10 15:36:00,1
2019-09-10 15:40:00,1
2019-09-10 15:45:00,1
2019-09-10 15:50:00,1
2019-09-10 15:54:00,1
