32,"select top # spa.ra, spa.dec, spa.dered_r as magnitude, spa.class, spa.z, soa.xfocal as x, soa.yfocal as y from specphotoAll as spa join specObjAll as soa on soa.specObjID = spa.specObjID where spa.plate = # and spa.dered_r > # order by spa.dered_r asc"
2019-09-17 12:03:00,1
2019-09-17 12:05:00,4
2019-09-17 12:06:00,2
2019-09-17 12:07:00,4
2019-09-17 12:08:00,1
2019-09-17 12:09:00,1
2019-09-17 12:10:00,1
2019-09-17 12:12:00,1
2019-09-17 12:36:00,1
2019-09-17 12:50:00,1
2019-09-17 12:51:00,1
2019-09-17 12:52:00,2
2019-09-17 16:56:00,2
2019-09-17 16:58:00,1
2019-09-17 17:01:00,1
2019-09-17 17:06:00,1
2019-09-17 17:17:00,1
2019-09-17 17:18:00,2
2019-09-17 17:22:00,1
2019-09-17 17:32:00,1
2019-09-17 17:33:00,1
2019-09-17 17:40:00,1
