66,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-09-21 01:10:00,1
2019-09-21 01:20:00,2
2019-09-21 01:48:00,1
2019-09-21 01:53:00,1
2019-09-21 14:28:00,2
2019-09-21 16:22:00,1
2019-09-21 16:24:00,1
2019-09-21 16:28:00,1
2019-09-21 16:30:00,1
2019-09-21 16:31:00,1
2019-09-21 16:32:00,1
2019-09-21 16:33:00,1
2019-09-21 16:35:00,1
2019-09-21 16:36:00,2
2019-09-21 16:38:00,2
2019-09-21 16:39:00,3
2019-09-21 16:40:00,2
2019-09-21 16:41:00,2
2019-09-21 16:43:00,1
2019-09-21 16:44:00,1
2019-09-21 16:45:00,1
2019-09-21 16:48:00,1
2019-09-21 16:49:00,2
2019-09-21 16:50:00,2
2019-09-21 16:53:00,1
2019-09-21 16:54:00,1
2019-09-21 18:46:00,1
2019-09-21 18:55:00,1
2019-09-21 19:04:00,1
2019-09-21 19:05:00,1
2019-09-21 19:07:00,1
2019-09-21 19:51:00,1
2019-09-21 19:52:00,1
2019-09-21 19:53:00,1
2019-09-21 19:54:00,1
2019-09-21 19:55:00,1
2019-09-21 19:56:00,1
2019-09-21 19:57:00,1
2019-09-21 20:43:00,1
2019-09-21 20:45:00,1
2019-09-21 20:47:00,1
2019-09-21 20:49:00,1
2019-09-21 20:51:00,1
2019-09-21 20:52:00,1
2019-09-21 20:54:00,1
2019-09-21 20:55:00,1
2019-09-21 20:57:00,1
2019-09-21 20:59:00,1
2019-09-21 21:00:00,1
2019-09-21 21:02:00,1
2019-09-21 21:04:00,1
2019-09-21 21:05:00,1
2019-09-21 21:06:00,1
2019-09-21 21:53:00,1
2019-09-21 21:55:00,2
