28,select * from zooSpec where objid=#
2019-09-29 01:44:00,1
2019-09-29 03:47:00,1
2019-09-29 04:31:00,1
2019-09-29 05:30:00,1
2019-09-29 06:05:00,1
2019-09-29 09:16:00,1
2019-09-29 10:14:00,1
2019-09-29 10:20:00,1
2019-09-29 10:55:00,1
2019-09-29 12:38:00,1
2019-09-29 12:42:00,1
2019-09-29 15:30:00,8
2019-09-29 17:06:00,1
2019-09-29 17:14:00,1
2019-09-29 17:21:00,1
2019-09-29 17:26:00,1
2019-09-29 18:02:00,1
2019-09-29 18:42:00,1
2019-09-29 19:00:00,1
2019-09-29 21:47:00,1
2019-09-29 22:51:00,1
