18,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-10-01 02:10:00,1
2019-10-01 02:12:00,1
2019-10-01 02:13:00,1
2019-10-01 02:15:00,1
2019-10-01 02:16:00,1
2019-10-01 02:17:00,1
2019-10-01 02:18:00,1
2019-10-01 02:19:00,2
2019-10-01 02:22:00,1
2019-10-01 02:25:00,1
2019-10-01 02:26:00,1
2019-10-01 02:27:00,1
2019-10-01 02:28:00,1
2019-10-01 07:51:00,1
2019-10-01 10:01:00,1
2019-10-01 18:57:00,1
2019-10-01 23:35:00,1
