241,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-10-03 00:27:00,1
2019-10-03 00:46:00,1
2019-10-03 01:03:00,1
2019-10-03 01:40:00,1
2019-10-03 01:44:00,1
2019-10-03 01:46:00,1
2019-10-03 01:47:00,1
2019-10-03 01:49:00,1
2019-10-03 01:51:00,1
2019-10-03 02:01:00,1
2019-10-03 02:05:00,1
2019-10-03 02:08:00,1
2019-10-03 02:12:00,1
2019-10-03 02:16:00,1
2019-10-03 02:18:00,1
2019-10-03 02:22:00,1
2019-10-03 02:24:00,1
2019-10-03 02:29:00,1
2019-10-03 02:32:00,1
2019-10-03 02:35:00,1
2019-10-03 02:39:00,1
2019-10-03 02:41:00,1
2019-10-03 02:43:00,1
2019-10-03 02:44:00,1
2019-10-03 02:45:00,1
2019-10-03 02:47:00,1
2019-10-03 02:49:00,1
2019-10-03 02:51:00,1
2019-10-03 02:54:00,1
2019-10-03 02:55:00,1
2019-10-03 02:57:00,1
2019-10-03 02:59:00,1
2019-10-03 03:02:00,1
2019-10-03 03:05:00,1
2019-10-03 03:12:00,1
2019-10-03 03:16:00,1
2019-10-03 03:18:00,1
2019-10-03 03:22:00,1
2019-10-03 03:28:00,9
2019-10-03 03:36:00,9
2019-10-03 03:45:00,1
2019-10-03 04:08:00,9
2019-10-03 04:09:00,1
2019-10-03 04:44:00,4
2019-10-03 04:45:00,6
2019-10-03 05:29:00,5
2019-10-03 05:30:00,2
2019-10-03 05:31:00,7
2019-10-03 05:45:00,1
2019-10-03 06:10:00,1
2019-10-03 06:29:00,1
2019-10-03 06:33:00,1
2019-10-03 06:36:00,1
2019-10-03 06:40:00,1
2019-10-03 06:41:00,1
2019-10-03 06:45:00,2
2019-10-03 06:48:00,1
2019-10-03 06:52:00,1
2019-10-03 06:54:00,1
2019-10-03 06:57:00,1
2019-10-03 06:58:00,1
2019-10-03 07:01:00,1
2019-10-03 07:02:00,9
2019-10-03 07:04:00,1
2019-10-03 07:08:00,1
2019-10-03 07:31:00,1
2019-10-03 07:38:00,1
2019-10-03 07:43:00,1
2019-10-03 07:45:00,1
2019-10-03 07:48:00,1
2019-10-03 07:52:00,1
2019-10-03 08:05:00,1
2019-10-03 08:08:00,1
2019-10-03 08:11:00,1
2019-10-03 08:15:00,1
2019-10-03 08:20:00,1
2019-10-03 08:23:00,1
2019-10-03 08:26:00,1
2019-10-03 08:28:00,1
2019-10-03 08:33:00,1
2019-10-03 08:35:00,1
2019-10-03 08:37:00,1
2019-10-03 08:39:00,8
2019-10-03 08:41:00,1
2019-10-03 08:43:00,8
2019-10-03 08:45:00,2
2019-10-03 08:47:00,1
2019-10-03 08:49:00,1
2019-10-03 08:50:00,1
2019-10-03 08:52:00,1
2019-10-03 09:46:00,1
2019-10-03 09:55:00,9
2019-10-03 10:45:00,1
2019-10-03 11:45:00,1
2019-10-03 11:50:00,7
2019-10-03 12:05:00,20
2019-10-03 12:06:00,1
2019-10-03 12:45:00,1
2019-10-03 12:51:00,1
2019-10-03 12:54:00,1
2019-10-03 13:15:00,1
2019-10-03 13:45:00,1
2019-10-03 14:36:00,1
2019-10-03 14:37:00,1
2019-10-03 14:39:00,1
2019-10-03 14:40:00,1
2019-10-03 14:42:00,2
2019-10-03 14:45:00,1
2019-10-03 14:46:00,2
2019-10-03 14:51:00,1
2019-10-03 15:20:00,16
2019-10-03 15:45:00,1
2019-10-03 16:05:00,1
2019-10-03 16:06:00,1
2019-10-03 16:08:00,1
2019-10-03 16:36:00,1
2019-10-03 16:38:00,1
2019-10-03 16:45:00,1
2019-10-03 16:46:00,1
2019-10-03 16:51:00,1
2019-10-03 16:55:00,1
2019-10-03 17:45:00,1
2019-10-03 18:46:00,1
2019-10-03 19:45:00,1
