36,"SELECT TOP #    p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, s.z as redshift    FROM PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE     s.z BETWEEN # AND #    AND p.dec BETWEEN # AND #    AND p.ra BETWEEN # AND #"
2019-10-06 18:26:00,1
2019-10-06 18:27:00,1
2019-10-06 18:31:00,1
2019-10-06 18:32:00,1
2019-10-06 18:33:00,3
2019-10-06 18:35:00,1
2019-10-06 18:36:00,2
2019-10-06 18:37:00,6
2019-10-06 18:47:00,4
2019-10-06 18:48:00,4
2019-10-06 18:49:00,5
2019-10-06 18:55:00,3
2019-10-06 18:56:00,2
2019-10-06 18:57:00,2
