62,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-10-09 05:00:00,6
2019-10-09 05:01:00,9
2019-10-09 05:02:00,8
2019-10-09 05:03:00,1
2019-10-09 05:06:00,4
2019-10-09 05:07:00,2
2019-10-09 05:08:00,5
2019-10-09 05:09:00,1
2019-10-09 05:10:00,1
2019-10-09 05:14:00,1
2019-10-09 05:21:00,5
2019-10-09 05:22:00,9
2019-10-09 05:23:00,9
2019-10-09 05:24:00,1
