2456,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.flags, s.z, gsi.tauv_cont, p.psffwhm_z, p.psffwhm_i, p.psffwhm_r, p.psffwhm_g, p.psffwhm_u, p.expAB_z, p.expAB_i, p.expAB_r, p.expAB_g, p.expAB_u, p.expPhi_z, p.expPhi_i, p.expPhi_r, p.expPhi_g, p.expPhi_u, p.expRad_z, p.expRad_i, p.expRad_r, p.expRad_g, p.expRad_u, p.expFlux_z, p.expFlux_i, p.expFlux_r, p.expFlux_g, p.expFlux_u, p.expMag_z, p.expMag_i, p.expMag_r, p.expMag_g, p.expMag_u, p.petroRad_z, p.petroRad_i, p.petroRad_r, p.petroRad_g, p.petroRad_u, p.petroFlux_z, p.petroFlux_i, p.petroFlux_r, p.petroFlux_g, p.petroFlux_u, p.petroMag_z, p.petroMag_i, p.petroMag_r, p.petroMag_g, p.petroMag_u, p.petroR5#_z, p.petroR5#_i, p.petroR5#_r, p.petroR5#_g, p.petroR5#_u, p.petroR9#_z, p.petroR9#_i, p.petroR9#_r, p.petroR9#_g, p.petroR9#_u, p.rowc_z, p.rowc_i, p.rowc_r, p.rowc_g, p.rowc_u, p.colc_z, p.colc_i, p.colc_r, p.colc_g, p.colc_u, p.rowcErr_z, p.rowcErr_i, p.rowcErr_r, p.rowcErr_g, p.rowcErr_u, p.colcErr_z, p.colcErr_i, p.colcErr_r, p.colcErr_g, p.colcErr_u FROM PhotoPrimary AS p JOIN SpecPhoto AS s ON p.specobjid=s.specobjid JOIN galSpecIndx AS gsi ON p.specobjid=gsi.specobjid WHERE p.specobjid in (#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#)"
2019-10-11 21:27:00,31
2019-10-11 21:28:00,48
2019-10-11 21:29:00,75
2019-10-11 21:30:00,80
2019-10-11 21:31:00,53
2019-10-11 21:32:00,56
2019-10-11 21:33:00,67
2019-10-11 21:34:00,68
2019-10-11 21:35:00,58
2019-10-11 21:36:00,75
2019-10-11 21:37:00,94
2019-10-11 21:38:00,87
2019-10-11 21:39:00,97
2019-10-11 21:40:00,94
2019-10-11 21:41:00,94
2019-10-11 21:42:00,98
2019-10-11 21:43:00,96
2019-10-11 21:44:00,97
2019-10-11 21:45:00,97
2019-10-11 21:46:00,98
2019-10-11 21:47:00,98
2019-10-11 21:48:00,99
2019-10-11 21:49:00,96
2019-10-11 21:50:00,97
2019-10-11 21:51:00,91
2019-10-11 21:52:00,95
2019-10-11 21:53:00,77
2019-10-11 21:54:00,66
2019-10-11 21:55:00,65
2019-10-11 21:56:00,52
2019-10-11 21:57:00,57
