1327,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-10-12 00:00:00,3
2019-10-12 00:06:00,1
2019-10-12 00:07:00,3
2019-10-12 00:08:00,2
2019-10-12 00:10:00,3
2019-10-12 00:16:00,1
2019-10-12 00:17:00,3
2019-10-12 00:18:00,2
2019-10-12 00:20:00,3
2019-10-12 00:26:00,1
2019-10-12 00:27:00,3
2019-10-12 00:28:00,2
2019-10-12 00:30:00,3
2019-10-12 00:36:00,1
2019-10-12 00:37:00,3
2019-10-12 00:38:00,2
2019-10-12 00:40:00,3
2019-10-12 00:46:00,1
2019-10-12 00:47:00,3
2019-10-12 00:48:00,2
2019-10-12 00:50:00,3
2019-10-12 00:56:00,1
2019-10-12 00:57:00,3
2019-10-12 00:58:00,2
2019-10-12 01:00:00,4
2019-10-12 01:06:00,1
2019-10-12 01:07:00,3
2019-10-12 01:08:00,2
2019-10-12 01:10:00,3
2019-10-12 01:16:00,1
2019-10-12 01:17:00,3
2019-10-12 01:18:00,2
2019-10-12 01:20:00,3
2019-10-12 01:26:00,1
2019-10-12 01:27:00,3
2019-10-12 01:28:00,2
2019-10-12 01:30:00,3
2019-10-12 01:36:00,1
2019-10-12 01:37:00,3
2019-10-12 01:38:00,2
2019-10-12 01:40:00,3
2019-10-12 01:46:00,1
2019-10-12 01:47:00,3
2019-10-12 01:48:00,4
2019-10-12 01:50:00,3
2019-10-12 01:56:00,1
2019-10-12 01:57:00,3
2019-10-12 01:58:00,4
2019-10-12 02:00:00,3
2019-10-12 02:06:00,1
2019-10-12 02:07:00,3
2019-10-12 02:08:00,2
2019-10-12 02:10:00,3
2019-10-12 02:16:00,1
2019-10-12 02:17:00,3
2019-10-12 02:18:00,2
2019-10-12 02:20:00,3
2019-10-12 02:26:00,1
2019-10-12 02:27:00,3
2019-10-12 02:28:00,2
2019-10-12 02:30:00,3
2019-10-12 02:36:00,1
2019-10-12 02:37:00,3
2019-10-12 02:38:00,2
2019-10-12 02:40:00,3
2019-10-12 02:46:00,1
2019-10-12 02:47:00,4
2019-10-12 02:48:00,2
2019-10-12 02:50:00,3
2019-10-12 02:56:00,1
2019-10-12 02:57:00,3
2019-10-12 02:58:00,2
2019-10-12 03:00:00,3
2019-10-12 03:06:00,1
2019-10-12 03:07:00,3
2019-10-12 03:08:00,2
2019-10-12 03:10:00,3
2019-10-12 03:16:00,1
2019-10-12 03:17:00,3
2019-10-12 03:18:00,2
2019-10-12 03:20:00,4
2019-10-12 03:26:00,1
2019-10-12 03:27:00,3
2019-10-12 03:28:00,2
2019-10-12 03:30:00,3
2019-10-12 03:36:00,1
2019-10-12 03:37:00,3
2019-10-12 03:38:00,2
2019-10-12 03:40:00,3
2019-10-12 03:46:00,1
2019-10-12 03:47:00,3
2019-10-12 03:48:00,2
2019-10-12 03:50:00,3
2019-10-12 03:56:00,1
2019-10-12 03:57:00,3
2019-10-12 03:58:00,2
2019-10-12 04:00:00,3
2019-10-12 04:06:00,1
2019-10-12 04:07:00,3
2019-10-12 04:08:00,2
2019-10-12 04:10:00,3
2019-10-12 04:16:00,1
2019-10-12 04:17:00,3
2019-10-12 04:18:00,2
2019-10-12 04:20:00,3
2019-10-12 04:26:00,1
2019-10-12 04:27:00,3
2019-10-12 04:28:00,2
2019-10-12 04:30:00,3
2019-10-12 04:36:00,1
2019-10-12 04:37:00,3
2019-10-12 04:38:00,2
2019-10-12 04:40:00,3
2019-10-12 04:46:00,1
2019-10-12 04:47:00,3
2019-10-12 04:48:00,2
2019-10-12 04:50:00,3
2019-10-12 04:56:00,1
2019-10-12 04:57:00,3
2019-10-12 04:58:00,2
2019-10-12 05:00:00,3
2019-10-12 05:06:00,1
2019-10-12 05:07:00,3
2019-10-12 05:08:00,2
2019-10-12 05:10:00,3
2019-10-12 05:16:00,1
2019-10-12 05:17:00,3
2019-10-12 05:18:00,2
2019-10-12 05:20:00,3
2019-10-12 05:27:00,4
2019-10-12 05:28:00,2
2019-10-12 05:30:00,3
2019-10-12 05:37:00,4
2019-10-12 05:38:00,2
2019-10-12 05:40:00,3
2019-10-12 05:47:00,4
2019-10-12 05:48:00,2
2019-10-12 05:50:00,4
2019-10-12 05:57:00,4
2019-10-12 05:58:00,2
2019-10-12 06:00:00,4
2019-10-12 06:07:00,5
2019-10-12 06:08:00,2
2019-10-12 06:10:00,3
2019-10-12 06:17:00,4
2019-10-12 06:18:00,2
2019-10-12 06:20:00,3
2019-10-12 06:27:00,4
2019-10-12 06:28:00,2
2019-10-12 06:30:00,3
2019-10-12 06:37:00,4
2019-10-12 06:38:00,2
2019-10-12 06:40:00,3
2019-10-12 06:47:00,4
2019-10-12 06:48:00,2
2019-10-12 06:50:00,3
2019-10-12 06:57:00,4
2019-10-12 06:58:00,2
2019-10-12 07:00:00,3
2019-10-12 07:07:00,4
2019-10-12 07:08:00,2
2019-10-12 07:10:00,3
2019-10-12 07:17:00,4
2019-10-12 07:18:00,2
2019-10-12 07:20:00,4
2019-10-12 07:27:00,4
2019-10-12 07:28:00,2
2019-10-12 07:30:00,3
2019-10-12 07:37:00,4
2019-10-12 07:38:00,2
2019-10-12 07:40:00,4
2019-10-12 07:47:00,4
2019-10-12 07:48:00,2
2019-10-12 07:50:00,3
2019-10-12 07:57:00,4
2019-10-12 07:58:00,2
2019-10-12 08:00:00,3
2019-10-12 08:07:00,4
2019-10-12 08:08:00,2
2019-10-12 08:10:00,3
2019-10-12 08:17:00,4
2019-10-12 08:18:00,2
2019-10-12 08:20:00,3
2019-10-12 08:27:00,4
2019-10-12 08:28:00,2
2019-10-12 08:30:00,4
2019-10-12 08:37:00,4
2019-10-12 08:38:00,2
2019-10-12 08:40:00,3
2019-10-12 08:47:00,4
2019-10-12 08:48:00,2
2019-10-12 08:50:00,3
2019-10-12 08:57:00,4
2019-10-12 08:58:00,2
2019-10-12 09:00:00,3
2019-10-12 09:07:00,4
2019-10-12 09:08:00,2
2019-10-12 09:10:00,3
2019-10-12 09:17:00,4
2019-10-12 09:18:00,2
2019-10-12 09:20:00,3
2019-10-12 09:27:00,4
2019-10-12 09:28:00,2
2019-10-12 09:30:00,3
2019-10-12 09:37:00,4
