202,"SELECT GN.distance, p.objid, pz.z as redshift, pz.zErr as redshift_error FROM PhotoObj as p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON GN.objID=p.objID JOIN Photoz AS pz ON pz.objID=p.objID ORDER BY distance"
2019-10-14 18:46:00,1
2019-10-14 18:47:00,1
2019-10-14 18:49:00,2
2019-10-14 18:51:00,1
2019-10-14 18:52:00,1
2019-10-14 18:53:00,1
2019-10-14 19:48:00,5
2019-10-14 19:59:00,2
2019-10-14 20:00:00,9
2019-10-14 20:01:00,6
2019-10-14 20:02:00,6
2019-10-14 20:03:00,6
2019-10-14 20:04:00,4
2019-10-14 20:05:00,1
2019-10-14 20:09:00,1
2019-10-14 20:10:00,1
2019-10-14 20:11:00,5
2019-10-14 20:12:00,8
2019-10-14 20:13:00,4
2019-10-14 20:14:00,6
2019-10-14 20:15:00,7
2019-10-14 20:16:00,5
2019-10-14 20:17:00,2
2019-10-14 20:18:00,1
2019-10-14 20:21:00,4
2019-10-14 20:22:00,7
2019-10-14 20:23:00,6
2019-10-14 20:24:00,4
2019-10-14 20:25:00,3
2019-10-14 20:26:00,10
2019-10-14 20:27:00,7
2019-10-14 20:28:00,6
2019-10-14 20:29:00,4
2019-10-14 20:30:00,6
2019-10-14 20:31:00,5
2019-10-14 20:32:00,7
2019-10-14 20:33:00,2
2019-10-14 20:34:00,4
2019-10-14 20:35:00,1
2019-10-14 20:36:00,4
2019-10-14 20:37:00,7
2019-10-14 20:38:00,4
2019-10-14 20:39:00,6
2019-10-14 20:40:00,5
2019-10-14 20:41:00,1
2019-10-14 20:43:00,1
2019-10-14 20:44:00,2
2019-10-14 20:45:00,2
2019-10-14 20:47:00,1
2019-10-14 20:48:00,2
2019-10-14 20:49:00,1
2019-10-14 20:50:00,1
2019-10-14 20:55:00,1
2019-10-14 23:57:00,1
2019-10-14 23:58:00,1
