2854,"SELECT objid,ra,dec, class, z as redshift FROM SpecPhoto WHERE z ># AND z < # AND class = GALAXY&&&"
2019-10-23 16:33:00,1
2019-10-23 16:34:00,124
2019-10-23 16:35:00,129
2019-10-23 16:44:00,33
2019-10-23 16:45:00,145
2019-10-23 16:46:00,132
2019-10-23 16:47:00,90
2019-10-23 16:51:00,133
2019-10-23 16:52:00,99
2019-10-23 16:53:00,138
2019-10-23 16:54:00,30
2019-10-23 16:57:00,103
2019-10-23 16:58:00,46
2019-10-23 16:59:00,7
2019-10-23 17:00:00,9
2019-10-23 17:01:00,6
2019-10-23 17:02:00,5
2019-10-23 17:03:00,5
2019-10-23 17:04:00,5
2019-10-23 17:05:00,6
2019-10-23 17:06:00,7
2019-10-23 17:07:00,23
2019-10-23 17:08:00,80
2019-10-23 17:09:00,95
2019-10-23 17:10:00,3
2019-10-23 17:12:00,57
2019-10-23 17:13:00,55
2019-10-23 17:14:00,52
2019-10-23 17:15:00,52
2019-10-23 17:16:00,55
2019-10-23 17:17:00,22
2019-10-23 17:18:00,6
2019-10-23 17:19:00,10
2019-10-23 17:20:00,13
2019-10-23 17:21:00,13
2019-10-23 17:22:00,16
2019-10-23 17:23:00,7
2019-10-23 17:24:00,7
2019-10-23 17:25:00,8
2019-10-23 17:26:00,10
2019-10-23 17:27:00,13
2019-10-23 17:28:00,4
2019-10-23 17:33:00,8
2019-10-23 17:34:00,12
2019-10-23 17:35:00,13
2019-10-23 17:36:00,14
2019-10-23 17:37:00,17
2019-10-23 17:38:00,13
2019-10-23 17:39:00,19
2019-10-23 17:40:00,11
2019-10-23 17:41:00,10
2019-10-23 17:42:00,10
2019-10-23 17:43:00,13
2019-10-23 17:44:00,13
2019-10-23 17:45:00,12
2019-10-23 17:46:00,8
2019-10-23 17:47:00,10
2019-10-23 17:48:00,12
2019-10-23 17:49:00,12
2019-10-23 17:50:00,11
2019-10-23 17:51:00,16
2019-10-23 17:52:00,11
2019-10-23 17:53:00,11
2019-10-23 17:54:00,12
2019-10-23 17:55:00,16
2019-10-23 17:56:00,24
2019-10-23 17:57:00,13
2019-10-23 17:58:00,13
2019-10-23 17:59:00,23
2019-10-23 18:00:00,10
2019-10-23 18:01:00,15
2019-10-23 18:02:00,15
2019-10-23 18:03:00,13
2019-10-23 18:04:00,10
2019-10-23 18:05:00,14
2019-10-23 18:06:00,15
2019-10-23 18:07:00,22
2019-10-23 18:08:00,14
2019-10-23 18:09:00,12
2019-10-23 18:10:00,13
2019-10-23 18:11:00,13
2019-10-23 18:12:00,10
2019-10-23 18:13:00,9
2019-10-23 18:14:00,10
2019-10-23 18:15:00,11
2019-10-23 18:16:00,4
2019-10-23 18:17:00,4
2019-10-23 18:18:00,5
2019-10-23 18:19:00,5
2019-10-23 18:20:00,7
2019-10-23 18:21:00,10
2019-10-23 18:22:00,23
2019-10-23 18:23:00,14
2019-10-23 18:24:00,8
2019-10-23 18:25:00,5
2019-10-23 18:26:00,4
2019-10-23 18:27:00,3
2019-10-23 18:28:00,4
2019-10-23 18:29:00,6
2019-10-23 18:30:00,7
2019-10-23 18:31:00,12
2019-10-23 18:32:00,14
2019-10-23 18:33:00,15
2019-10-23 18:34:00,9
2019-10-23 18:35:00,11
2019-10-23 18:36:00,11
2019-10-23 18:37:00,43
2019-10-23 18:38:00,19
2019-10-23 18:39:00,6
2019-10-23 18:40:00,6
2019-10-23 18:41:00,13
2019-10-23 18:42:00,9
2019-10-23 18:43:00,6
2019-10-23 18:44:00,7
2019-10-23 18:45:00,9
2019-10-23 18:46:00,7
2019-10-23 18:47:00,6
2019-10-23 18:48:00,7
2019-10-23 18:49:00,8
2019-10-23 18:50:00,8
2019-10-23 18:51:00,8
2019-10-23 18:52:00,7
2019-10-23 18:53:00,10
2019-10-23 18:54:00,7
2019-10-23 18:55:00,8
2019-10-23 18:56:00,8
2019-10-23 18:57:00,9
2019-10-23 18:58:00,10
2019-10-23 18:59:00,8
2019-10-23 19:00:00,9
2019-10-23 19:01:00,9
2019-10-23 19:02:00,9
