46,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-10-23 01:49:00,2
2019-10-23 01:50:00,1
2019-10-23 04:40:00,2
2019-10-23 06:22:00,1
2019-10-23 06:40:00,1
2019-10-23 11:53:00,4
2019-10-23 11:54:00,2
2019-10-23 18:19:00,1
2019-10-23 19:03:00,3
2019-10-23 19:04:00,3
2019-10-23 19:05:00,4
2019-10-23 19:06:00,3
2019-10-23 19:07:00,3
2019-10-23 19:08:00,4
2019-10-23 19:09:00,1
2019-10-23 20:04:00,1
2019-10-23 20:05:00,1
2019-10-23 20:06:00,2
2019-10-23 20:07:00,1
2019-10-23 20:33:00,1
2019-10-23 20:41:00,1
2019-10-23 21:11:00,1
2019-10-23 22:13:00,2
2019-10-23 23:24:00,1
