25,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-10-24 00:23:00,1
2019-10-24 00:26:00,1
2019-10-24 00:28:00,1
2019-10-24 09:45:00,1
2019-10-24 11:13:00,1
2019-10-24 11:16:00,1
2019-10-24 11:32:00,1
2019-10-24 11:34:00,1
2019-10-24 11:37:00,1
2019-10-24 11:42:00,1
2019-10-24 11:51:00,1
2019-10-24 12:59:00,1
2019-10-24 13:18:00,1
2019-10-24 13:35:00,1
2019-10-24 14:47:00,1
2019-10-24 14:56:00,1
2019-10-24 15:13:00,1
2019-10-24 16:33:00,1
2019-10-24 20:45:00,1
2019-10-24 20:48:00,1
2019-10-24 20:51:00,1
2019-10-24 21:26:00,1
2019-10-24 21:38:00,1
2019-10-24 22:29:00,1
2019-10-24 23:52:00,1
