499,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-10-28 17:29:00,12
2019-10-28 17:30:00,12
2019-10-28 17:31:00,13
2019-10-28 17:32:00,12
2019-10-28 17:33:00,13
2019-10-28 17:34:00,11
2019-10-28 17:35:00,12
2019-10-28 17:36:00,12
2019-10-28 17:37:00,11
2019-10-28 17:38:00,10
2019-10-28 17:39:00,10
2019-10-28 17:40:00,10
2019-10-28 17:41:00,10
2019-10-28 17:42:00,10
2019-10-28 17:43:00,9
2019-10-28 17:44:00,8
2019-10-28 17:45:00,10
2019-10-28 17:46:00,10
2019-10-28 17:47:00,10
2019-10-28 17:48:00,10
2019-10-28 17:49:00,10
2019-10-28 17:50:00,10
2019-10-28 17:51:00,10
2019-10-28 17:52:00,10
2019-10-28 17:53:00,11
2019-10-28 17:54:00,10
2019-10-28 17:55:00,11
2019-10-28 17:56:00,6
2019-10-28 17:57:00,9
2019-10-28 17:58:00,7
2019-10-28 17:59:00,7
2019-10-28 18:00:00,7
2019-10-28 18:01:00,6
2019-10-28 18:02:00,6
2019-10-28 18:03:00,5
2019-10-28 18:04:00,4
2019-10-28 18:05:00,4
2019-10-28 18:06:00,5
2019-10-28 18:07:00,4
2019-10-28 18:08:00,5
2019-10-28 18:09:00,4
2019-10-28 18:10:00,4
2019-10-28 18:11:00,5
2019-10-28 18:12:00,4
2019-10-28 18:13:00,5
2019-10-28 18:14:00,4
2019-10-28 18:15:00,5
2019-10-28 18:16:00,4
2019-10-28 18:17:00,4
2019-10-28 18:18:00,4
2019-10-28 18:19:00,5
2019-10-28 18:20:00,4
2019-10-28 18:21:00,4
2019-10-28 18:22:00,4
2019-10-28 18:23:00,4
2019-10-28 18:24:00,5
2019-10-28 18:25:00,4
2019-10-28 18:26:00,4
2019-10-28 18:27:00,5
2019-10-28 18:28:00,4
2019-10-28 18:29:00,4
2019-10-28 18:30:00,4
2019-10-28 18:31:00,4
2019-10-28 18:32:00,5
2019-10-28 18:33:00,4
2019-10-28 18:34:00,5
2019-10-28 18:35:00,4
2019-10-28 18:36:00,4
2019-10-28 18:37:00,5
2019-10-28 18:38:00,4
2019-10-28 18:39:00,4
2019-10-28 18:40:00,2
2019-10-28 18:41:00,2
