90,"INSERT INTO [VARIABLES] VALUES (             #, #, &&&, &&&, &&&,              &&&,              &&&,              &&&,              NULL,              #)"
2019-10-30 04:34:00,2
2019-10-30 04:35:00,4
2019-10-30 04:36:00,5
2019-10-30 04:37:00,4
2019-10-30 04:38:00,3
2019-10-30 05:05:00,6
2019-10-30 05:06:00,3
2019-10-30 05:07:00,6
2019-10-30 05:08:00,3
2019-10-30 05:09:00,6
2019-10-30 05:10:00,3
2019-10-30 05:11:00,6
2019-10-30 05:12:00,3
2019-10-30 05:13:00,6
2019-10-30 05:14:00,3
2019-10-30 05:15:00,6
2019-10-30 05:16:00,3
2019-10-30 05:18:00,11
2019-10-30 05:19:00,7
