756,"INSERT INTO [VARIABLES] VALUES (             #, #, &&&, &&&, &&&,              &&&,              NULL,              &&&,              #,              #)"
2019-10-30 04:42:00,28
2019-10-30 04:43:00,57
2019-10-30 04:44:00,41
2019-10-30 04:45:00,38
2019-10-30 04:46:00,59
2019-10-30 04:47:00,57
2019-10-30 04:48:00,52
2019-10-30 04:49:00,57
2019-10-30 04:50:00,56
2019-10-30 04:51:00,55
2019-10-30 04:52:00,60
2019-10-30 04:53:00,56
2019-10-30 04:54:00,14
2019-10-30 04:56:00,42
2019-10-30 04:57:00,59
2019-10-30 04:58:00,25
