12,"SELECT u.up_up_id as up_id, dbo.fDistanceEq(u.up_ra,u.up_dec,p.ra,p.dec) as distance,p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoObj p ON p.objID = x.objID ORDER BY u.up_id,distance"
2019-10-30 19:01:00,1
2019-10-30 19:30:00,1
2019-10-30 21:08:00,1
2019-10-30 21:15:00,1
2019-10-30 21:25:00,1
2019-10-30 21:40:00,1
2019-10-30 21:51:00,1
2019-10-30 22:00:00,1
2019-10-30 22:35:00,1
2019-10-30 22:39:00,1
2019-10-30 22:43:00,1
2019-10-30 23:32:00,1
