23,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-11-02 12:47:00,1
2019-11-02 12:50:00,2
2019-11-02 12:51:00,1
2019-11-02 12:57:00,1
2019-11-02 12:59:00,1
2019-11-02 18:32:00,1
2019-11-02 18:34:00,1
2019-11-02 18:36:00,2
2019-11-02 18:40:00,1
2019-11-02 18:43:00,2
2019-11-02 18:46:00,1
2019-11-02 18:49:00,2
2019-11-02 18:50:00,1
2019-11-02 18:51:00,1
2019-11-02 18:52:00,1
2019-11-02 20:23:00,1
2019-11-02 20:27:00,1
2019-11-02 20:37:00,1
2019-11-02 20:42:00,1
