217,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-11-03 05:27:00,1
2019-11-03 05:29:00,1
2019-11-03 05:31:00,1
2019-11-03 05:32:00,1
2019-11-03 05:34:00,1
2019-11-03 05:36:00,1
2019-11-03 05:38:00,1
2019-11-03 05:40:00,1
2019-11-03 05:42:00,1
2019-11-03 05:44:00,1
2019-11-03 05:45:00,1
2019-11-03 05:48:00,1
2019-11-03 05:50:00,1
2019-11-03 05:52:00,1
2019-11-03 05:54:00,1
2019-11-03 05:56:00,1
2019-11-03 05:58:00,1
2019-11-03 06:00:00,1
2019-11-03 06:01:00,1
2019-11-03 06:02:00,1
2019-11-03 06:03:00,1
2019-11-03 06:05:00,1
2019-11-03 06:07:00,1
2019-11-03 06:09:00,1
2019-11-03 06:11:00,1
2019-11-03 06:13:00,1
2019-11-03 06:15:00,1
2019-11-03 06:17:00,1
2019-11-03 06:19:00,1
2019-11-03 06:21:00,1
2019-11-03 06:23:00,1
2019-11-03 06:25:00,1
2019-11-03 06:27:00,1
2019-11-03 06:29:00,1
2019-11-03 06:31:00,1
2019-11-03 06:33:00,1
2019-11-03 06:35:00,1
2019-11-03 06:37:00,1
2019-11-03 06:39:00,1
2019-11-03 06:41:00,1
2019-11-03 06:43:00,1
2019-11-03 06:46:00,1
2019-11-03 06:48:00,1
2019-11-03 06:50:00,1
2019-11-03 06:53:00,1
2019-11-03 06:55:00,1
2019-11-03 06:57:00,1
2019-11-03 07:00:00,1
2019-11-03 07:02:00,1
2019-11-03 07:04:00,1
2019-11-03 07:06:00,1
2019-11-03 07:08:00,1
2019-11-03 07:10:00,1
2019-11-03 07:12:00,1
2019-11-03 07:14:00,1
2019-11-03 07:16:00,1
2019-11-03 07:19:00,1
2019-11-03 07:21:00,1
2019-11-03 07:23:00,1
2019-11-03 07:25:00,1
2019-11-03 07:27:00,1
2019-11-03 07:30:00,1
2019-11-03 07:32:00,1
2019-11-03 07:34:00,1
2019-11-03 07:37:00,1
2019-11-03 07:39:00,1
2019-11-03 07:41:00,1
2019-11-03 07:43:00,1
2019-11-03 07:45:00,1
2019-11-03 07:46:00,1
2019-11-03 07:48:00,1
2019-11-03 07:50:00,1
2019-11-03 07:52:00,1
2019-11-03 07:54:00,1
2019-11-03 07:57:00,1
2019-11-03 07:59:00,1
2019-11-03 08:01:00,1
2019-11-03 08:03:00,1
2019-11-03 08:05:00,1
2019-11-03 08:07:00,1
2019-11-03 08:09:00,1
2019-11-03 08:12:00,1
2019-11-03 08:14:00,1
2019-11-03 08:16:00,1
2019-11-03 08:18:00,1
2019-11-03 08:20:00,1
2019-11-03 08:22:00,1
2019-11-03 08:24:00,1
2019-11-03 08:26:00,1
2019-11-03 08:28:00,1
2019-11-03 08:30:00,1
2019-11-03 08:33:00,1
2019-11-03 08:34:00,1
2019-11-03 08:35:00,1
2019-11-03 08:37:00,1
2019-11-03 08:39:00,1
2019-11-03 08:40:00,1
2019-11-03 08:42:00,1
2019-11-03 08:45:00,1
2019-11-03 08:47:00,1
2019-11-03 08:48:00,1
2019-11-03 08:51:00,1
2019-11-03 08:53:00,1
2019-11-03 08:55:00,1
2019-11-03 08:57:00,1
2019-11-03 08:59:00,1
2019-11-03 09:01:00,1
2019-11-03 09:02:00,1
2019-11-03 09:04:00,1
2019-11-03 09:06:00,1
2019-11-03 09:07:00,1
2019-11-03 09:09:00,1
2019-11-03 09:10:00,1
2019-11-03 09:12:00,1
2019-11-03 09:14:00,1
2019-11-03 09:15:00,1
2019-11-03 09:17:00,1
2019-11-03 09:19:00,1
2019-11-03 09:20:00,1
2019-11-03 09:22:00,1
2019-11-03 09:23:00,1
2019-11-03 09:25:00,1
2019-11-03 09:27:00,1
2019-11-03 09:28:00,1
2019-11-03 09:29:00,1
2019-11-03 09:31:00,1
2019-11-03 09:32:00,1
2019-11-03 09:34:00,1
2019-11-03 09:35:00,1
2019-11-03 09:37:00,1
2019-11-03 09:38:00,1
2019-11-03 09:40:00,1
2019-11-03 09:41:00,1
2019-11-03 09:43:00,1
2019-11-03 09:44:00,1
2019-11-03 09:46:00,1
2019-11-03 09:47:00,1
2019-11-03 09:48:00,1
2019-11-03 09:50:00,1
2019-11-03 09:51:00,1
2019-11-03 09:53:00,1
2019-11-03 09:54:00,1
2019-11-03 09:55:00,1
2019-11-03 09:57:00,1
2019-11-03 09:58:00,1
2019-11-03 10:00:00,1
2019-11-03 10:01:00,1
2019-11-03 10:02:00,1
2019-11-03 10:04:00,1
2019-11-03 10:06:00,1
2019-11-03 10:07:00,1
2019-11-03 10:08:00,1
2019-11-03 10:10:00,1
2019-11-03 10:11:00,1
2019-11-03 10:12:00,1
2019-11-03 10:14:00,1
2019-11-03 10:15:00,1
2019-11-03 10:17:00,1
2019-11-03 10:18:00,1
2019-11-03 10:20:00,1
2019-11-03 10:21:00,1
2019-11-03 10:23:00,1
2019-11-03 10:24:00,1
2019-11-03 10:26:00,1
2019-11-03 10:28:00,1
2019-11-03 10:30:00,1
2019-11-03 10:31:00,1
2019-11-03 10:33:00,1
2019-11-03 10:35:00,1
2019-11-03 10:36:00,1
2019-11-03 10:38:00,1
2019-11-03 10:40:00,1
2019-11-03 10:41:00,1
2019-11-03 10:43:00,1
2019-11-03 10:47:00,1
2019-11-03 10:48:00,1
2019-11-03 10:50:00,1
2019-11-03 10:52:00,1
2019-11-03 10:54:00,1
2019-11-03 10:56:00,1
2019-11-03 10:58:00,1
2019-11-03 12:03:00,1
2019-11-03 12:25:00,1
2019-11-03 13:08:00,1
2019-11-03 13:43:00,1
2019-11-03 14:09:00,1
2019-11-03 14:22:00,1
2019-11-03 14:24:00,1
2019-11-03 15:52:00,1
2019-11-03 15:58:00,2
2019-11-03 16:10:00,1
2019-11-03 18:08:00,3
2019-11-03 18:12:00,2
2019-11-03 18:14:00,1
2019-11-03 18:26:00,1
2019-11-03 18:38:00,1
2019-11-03 19:09:00,1
2019-11-03 19:14:00,1
2019-11-03 20:06:00,1
2019-11-03 20:08:00,2
2019-11-03 20:10:00,1
2019-11-03 20:11:00,2
2019-11-03 20:13:00,1
2019-11-03 20:14:00,2
2019-11-03 20:19:00,2
2019-11-03 23:15:00,1
2019-11-03 23:16:00,1
2019-11-03 23:28:00,1
2019-11-03 23:41:00,1
