140,"SELECT s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.zerr, s.class, s.subclass FROM SpecObj as s WHERE s.specObjID = dbo.fGetNearestSpecObjIdEq(#,#,#) AND s.zWarning = # AND s.class = &&&"
2019-11-04 19:03:00,3
2019-11-04 19:04:00,2
2019-11-04 19:08:00,2
2019-11-04 19:20:00,2
2019-11-04 19:32:00,4
2019-11-04 19:35:00,6
2019-11-04 19:36:00,3
2019-11-04 19:37:00,2
2019-11-04 19:42:00,3
2019-11-04 19:43:00,3
2019-11-04 19:44:00,5
2019-11-04 19:45:00,1
2019-11-04 21:35:00,1
2019-11-04 21:39:00,1
2019-11-04 21:50:00,4
2019-11-04 21:51:00,4
2019-11-04 22:00:00,6
2019-11-04 22:01:00,1
2019-11-04 22:02:00,9
2019-11-04 22:03:00,3
2019-11-04 22:06:00,5
2019-11-04 22:07:00,8
2019-11-04 22:08:00,4
2019-11-04 22:09:00,10
2019-11-04 22:10:00,3
2019-11-04 22:13:00,1
2019-11-04 22:14:00,1
2019-11-04 22:18:00,2
2019-11-04 22:21:00,7
2019-11-04 22:22:00,10
2019-11-04 22:23:00,9
2019-11-04 22:52:00,2
2019-11-04 22:56:00,3
2019-11-04 22:57:00,10
