1331,"SELECT  &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-11-06 00:01:00,2
2019-11-06 00:02:00,5
2019-11-06 00:03:00,1
2019-11-06 00:07:00,1
2019-11-06 00:11:00,2
2019-11-06 00:12:00,5
2019-11-06 00:13:00,1
2019-11-06 00:17:00,1
2019-11-06 00:21:00,2
2019-11-06 00:22:00,5
2019-11-06 00:23:00,1
2019-11-06 00:27:00,1
2019-11-06 00:31:00,2
2019-11-06 00:32:00,5
2019-11-06 00:33:00,1
2019-11-06 00:37:00,2
2019-11-06 00:41:00,2
2019-11-06 00:42:00,5
2019-11-06 00:43:00,1
2019-11-06 00:47:00,1
2019-11-06 00:51:00,2
2019-11-06 00:52:00,5
2019-11-06 00:53:00,1
2019-11-06 00:57:00,1
2019-11-06 01:01:00,2
2019-11-06 01:02:00,5
2019-11-06 01:03:00,1
2019-11-06 01:07:00,1
2019-11-06 01:11:00,2
2019-11-06 01:12:00,5
2019-11-06 01:13:00,1
2019-11-06 01:17:00,2
2019-11-06 01:21:00,2
2019-11-06 01:22:00,5
2019-11-06 01:23:00,1
2019-11-06 01:27:00,1
2019-11-06 01:31:00,2
2019-11-06 01:32:00,5
2019-11-06 01:33:00,1
2019-11-06 01:37:00,2
2019-11-06 01:41:00,2
2019-11-06 01:42:00,5
2019-11-06 01:43:00,1
2019-11-06 01:47:00,1
2019-11-06 01:51:00,2
2019-11-06 01:52:00,5
2019-11-06 01:53:00,1
2019-11-06 01:57:00,1
2019-11-06 02:01:00,2
2019-11-06 02:02:00,5
2019-11-06 02:03:00,1
2019-11-06 02:07:00,1
2019-11-06 02:11:00,2
2019-11-06 02:12:00,5
2019-11-06 02:13:00,2
2019-11-06 02:17:00,1
2019-11-06 02:21:00,2
2019-11-06 02:22:00,5
2019-11-06 02:23:00,1
2019-11-06 02:27:00,1
2019-11-06 02:31:00,2
2019-11-06 02:32:00,5
2019-11-06 02:33:00,1
2019-11-06 02:37:00,1
2019-11-06 02:41:00,2
2019-11-06 02:42:00,5
2019-11-06 02:43:00,1
2019-11-06 02:47:00,1
2019-11-06 02:51:00,2
2019-11-06 02:52:00,5
2019-11-06 02:53:00,1
2019-11-06 02:57:00,1
2019-11-06 03:01:00,2
2019-11-06 03:02:00,5
2019-11-06 03:03:00,1
2019-11-06 03:07:00,1
2019-11-06 03:11:00,2
2019-11-06 03:12:00,5
2019-11-06 03:13:00,1
2019-11-06 03:17:00,2
2019-11-06 03:21:00,2
2019-11-06 03:22:00,5
2019-11-06 03:23:00,1
2019-11-06 03:27:00,1
2019-11-06 03:31:00,2
2019-11-06 03:32:00,5
2019-11-06 03:33:00,1
2019-11-06 03:37:00,1
2019-11-06 03:41:00,2
2019-11-06 03:42:00,5
2019-11-06 03:43:00,1
2019-11-06 03:47:00,2
2019-11-06 03:51:00,2
2019-11-06 03:52:00,5
2019-11-06 03:53:00,1
2019-11-06 03:57:00,1
2019-11-06 04:01:00,2
2019-11-06 04:02:00,5
2019-11-06 04:03:00,1
2019-11-06 04:07:00,1
2019-11-06 04:11:00,2
2019-11-06 04:12:00,5
2019-11-06 04:13:00,1
2019-11-06 04:17:00,1
2019-11-06 04:21:00,2
2019-11-06 04:22:00,5
2019-11-06 04:23:00,1
2019-11-06 04:27:00,2
2019-11-06 04:31:00,2
2019-11-06 04:32:00,5
2019-11-06 04:33:00,1
2019-11-06 04:37:00,1
2019-11-06 04:41:00,2
2019-11-06 04:42:00,5
2019-11-06 04:43:00,1
2019-11-06 04:47:00,2
2019-11-06 04:51:00,2
2019-11-06 04:52:00,5
2019-11-06 04:53:00,1
2019-11-06 04:57:00,1
2019-11-06 05:01:00,2
2019-11-06 05:02:00,5
2019-11-06 05:03:00,1
2019-11-06 05:07:00,1
2019-11-06 05:11:00,2
2019-11-06 05:12:00,5
