371,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-11-08 00:14:00,2
2019-11-08 00:17:00,2
2019-11-08 00:20:00,2
2019-11-08 00:22:00,2
2019-11-08 01:06:00,2
2019-11-08 01:38:00,2
2019-11-08 02:11:00,2
2019-11-08 02:44:00,2
2019-11-08 07:00:00,2
2019-11-08 07:02:00,2
2019-11-08 07:05:00,2
2019-11-08 07:07:00,2
2019-11-08 07:26:00,2
2019-11-08 07:28:00,2
2019-11-08 07:30:00,2
2019-11-08 07:33:00,2
2019-11-08 07:52:00,2
2019-11-08 07:54:00,2
2019-11-08 07:56:00,2
2019-11-08 07:58:00,2
2019-11-08 08:04:00,2
2019-11-08 08:05:00,4
2019-11-08 08:07:00,2
2019-11-08 08:18:00,2
2019-11-08 08:20:00,2
2019-11-08 08:22:00,2
2019-11-08 08:24:00,2
2019-11-08 08:43:00,2
2019-11-08 08:46:00,2
2019-11-08 08:48:00,2
2019-11-08 08:51:00,2
2019-11-08 09:11:00,2
2019-11-08 09:13:00,2
2019-11-08 09:16:00,2
2019-11-08 09:19:00,2
2019-11-08 09:40:00,2
2019-11-08 09:43:00,2
2019-11-08 09:45:00,2
2019-11-08 09:48:00,2
2019-11-08 10:08:00,2
2019-11-08 10:10:00,2
2019-11-08 10:12:00,2
2019-11-08 10:15:00,2
2019-11-08 10:17:00,2
2019-11-08 10:18:00,2
2019-11-08 10:19:00,2
2019-11-08 10:21:00,2
2019-11-08 10:35:00,2
2019-11-08 10:37:00,2
2019-11-08 10:39:00,2
2019-11-08 10:42:00,2
2019-11-08 10:45:00,1
2019-11-08 10:46:00,1
2019-11-08 10:47:00,2
2019-11-08 10:48:00,2
2019-11-08 10:49:00,2
2019-11-08 11:02:00,2
2019-11-08 11:04:00,2
2019-11-08 11:09:00,2
2019-11-08 11:27:00,2
2019-11-08 11:28:00,3
2019-11-08 11:29:00,4
2019-11-08 11:30:00,7
2019-11-08 11:31:00,3
2019-11-08 11:32:00,8
2019-11-08 11:33:00,6
2019-11-08 11:34:00,8
2019-11-08 11:35:00,10
2019-11-08 11:36:00,6
2019-11-08 11:37:00,6
2019-11-08 11:38:00,2
2019-11-08 11:39:00,10
2019-11-08 11:40:00,2
2019-11-08 11:41:00,6
2019-11-08 11:42:00,2
2019-11-08 12:01:00,2
2019-11-08 12:03:00,2
2019-11-08 12:06:00,2
2019-11-08 12:09:00,2
2019-11-08 12:30:00,2
2019-11-08 12:32:00,2
2019-11-08 12:35:00,2
2019-11-08 12:38:00,2
2019-11-08 12:59:00,2
2019-11-08 13:01:00,2
2019-11-08 13:04:00,2
2019-11-08 13:08:00,2
2019-11-08 13:29:00,2
2019-11-08 13:31:00,2
2019-11-08 13:34:00,2
2019-11-08 13:38:00,2
2019-11-08 13:59:00,2
2019-11-08 14:01:00,2
2019-11-08 14:04:00,2
2019-11-08 14:08:00,2
2019-11-08 14:13:00,4
2019-11-08 14:14:00,4
2019-11-08 14:15:00,4
2019-11-08 14:16:00,2
2019-11-08 14:17:00,6
2019-11-08 14:18:00,2
2019-11-08 14:19:00,2
2019-11-08 14:30:00,2
2019-11-08 14:31:00,4
2019-11-08 14:32:00,4
2019-11-08 14:33:00,2
2019-11-08 14:34:00,4
2019-11-08 14:35:00,4
2019-11-08 14:36:00,4
2019-11-08 14:38:00,4
2019-11-08 14:39:00,4
2019-11-08 15:01:00,2
2019-11-08 15:03:00,2
2019-11-08 15:06:00,2
2019-11-08 15:09:00,2
2019-11-08 15:29:00,2
2019-11-08 15:32:00,2
2019-11-08 15:34:00,2
2019-11-08 15:38:00,2
2019-11-08 15:58:00,2
2019-11-08 16:00:00,2
2019-11-08 16:03:00,2
2019-11-08 16:06:00,2
2019-11-08 16:27:00,2
2019-11-08 16:29:00,2
2019-11-08 16:32:00,2
2019-11-08 16:35:00,2
2019-11-08 16:56:00,2
2019-11-08 16:58:00,2
2019-11-08 17:01:00,2
2019-11-08 17:04:00,2
2019-11-08 17:23:00,2
2019-11-08 17:25:00,2
2019-11-08 17:28:00,2
2019-11-08 17:32:00,2
2019-11-08 17:52:00,2
2019-11-08 17:54:00,1
2019-11-08 17:55:00,1
2019-11-08 17:57:00,2
2019-11-08 18:01:00,2
2019-11-08 18:21:00,2
2019-11-08 18:24:00,2
2019-11-08 18:27:00,2
2019-11-08 18:30:00,2
2019-11-08 18:51:00,2
2019-11-08 18:54:00,2
2019-11-08 18:57:00,2
2019-11-08 19:01:00,2
