807,"SELECT count(*) FROM Galaxy as p, SpecObj as s where p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-11-08 13:27:00,53
2019-11-08 13:28:00,64
2019-11-08 13:29:00,48
2019-11-08 13:30:00,42
2019-11-08 13:31:00,40
2019-11-08 13:32:00,54
2019-11-08 13:33:00,39
2019-11-08 13:34:00,29
2019-11-08 13:36:00,39
2019-11-08 13:37:00,49
2019-11-08 13:38:00,42
2019-11-08 13:39:00,60
2019-11-08 13:40:00,36
2019-11-08 13:41:00,48
2019-11-08 13:42:00,61
2019-11-08 13:43:00,45
2019-11-08 13:44:00,49
2019-11-08 13:45:00,9
